user,scale,size,word,algorithm,sampleNum,coor,distance
2,1x1,0.5,the,Standard,16,pixel,20.3876
2,1x1,0.5,the,Standard,16,keyWidth,0.707901
2,1x1,0.5,the,DTW,16,pixel,20.3876
2,1x1,0.5,the,DTW,16,keyWidth,0.707901
2,1x1,0.5,the,Standard,32,pixel,20.1154
2,1x1,0.5,the,Standard,32,keyWidth,0.698451
2,1x1,0.5,the,DTW,32,pixel,19.689
2,1x1,0.5,the,DTW,32,keyWidth,0.683647
2,1x1,0.5,the,Standard,64,pixel,19.9679
2,1x1,0.5,the,Standard,64,keyWidth,0.69333
2,1x1,0.5,the,DTW,64,pixel,19.5147
2,1x1,0.5,the,DTW,64,keyWidth,0.677593
2,1x1,0.5,the,Standard,128,pixel,19.8878
2,1x1,0.5,the,Standard,128,keyWidth,0.69055
2,1x1,0.5,the,DTW,128,pixel,19.3825
2,1x1,0.5,the,DTW,128,keyWidth,0.673003
2,1x1,0.5,five,Standard,16,pixel,17.3847
2,1x1,0.5,five,Standard,16,keyWidth,0.603637
2,1x1,0.5,five,DTW,16,pixel,16.7686
2,1x1,0.5,five,DTW,16,keyWidth,0.582243
2,1x1,0.5,five,Standard,32,pixel,17.2302
2,1x1,0.5,five,Standard,32,keyWidth,0.598272
2,1x1,0.5,five,DTW,32,pixel,15.7177
2,1x1,0.5,five,DTW,32,keyWidth,0.545755
2,1x1,0.5,five,Standard,64,pixel,17.1677
2,1x1,0.5,five,Standard,64,keyWidth,0.596102
2,1x1,0.5,five,DTW,64,pixel,14.9559
2,1x1,0.5,five,DTW,64,keyWidth,0.519303
2,1x1,0.5,five,Standard,128,pixel,17.1169
2,1x1,0.5,five,Standard,128,keyWidth,0.594338
2,1x1,0.5,five,DTW,128,pixel,14.8136
2,1x1,0.5,five,DTW,128,keyWidth,0.514361
2,1x1,0.5,boxing,Standard,16,pixel,21.3764
2,1x1,0.5,boxing,Standard,16,keyWidth,0.742235
2,1x1,0.5,boxing,DTW,16,pixel,20.0575
2,1x1,0.5,boxing,DTW,16,keyWidth,0.696441
2,1x1,0.5,boxing,Standard,32,pixel,21.3706
2,1x1,0.5,boxing,Standard,32,keyWidth,0.742033
2,1x1,0.5,boxing,DTW,32,pixel,15.1077
2,1x1,0.5,boxing,DTW,32,keyWidth,0.524573
2,1x1,0.5,boxing,Standard,64,pixel,21.3017
2,1x1,0.5,boxing,Standard,64,keyWidth,0.739642
2,1x1,0.5,boxing,DTW,64,pixel,13.2286
2,1x1,0.5,boxing,DTW,64,keyWidth,0.459328
2,1x1,0.5,boxing,Standard,128,pixel,21.2809
2,1x1,0.5,boxing,Standard,128,keyWidth,0.738921
2,1x1,0.5,boxing,DTW,128,pixel,12.596
2,1x1,0.5,boxing,DTW,128,keyWidth,0.437361
2,1x1,0.5,wizards,Standard,16,pixel,23.0833
2,1x1,0.5,wizards,Standard,16,keyWidth,0.801503
2,1x1,0.5,wizards,DTW,16,pixel,18.5811
2,1x1,0.5,wizards,DTW,16,keyWidth,0.645178
2,1x1,0.5,wizards,Standard,32,pixel,23.5111
2,1x1,0.5,wizards,Standard,32,keyWidth,0.816359
2,1x1,0.5,wizards,DTW,32,pixel,16.7432
2,1x1,0.5,wizards,DTW,32,keyWidth,0.58136
2,1x1,0.5,wizards,Standard,64,pixel,23.593
2,1x1,0.5,wizards,Standard,64,keyWidth,0.819203
2,1x1,0.5,wizards,DTW,64,pixel,14.9156
2,1x1,0.5,wizards,DTW,64,keyWidth,0.517903
2,1x1,0.5,wizards,Standard,128,pixel,23.6558
2,1x1,0.5,wizards,Standard,128,keyWidth,0.821382
2,1x1,0.5,wizards,DTW,128,pixel,14.4439
2,1x1,0.5,wizards,DTW,128,keyWidth,0.501524
2,1x1,0.5,jump,Standard,16,pixel,15.3749
2,1x1,0.5,jump,Standard,16,keyWidth,0.53385
2,1x1,0.5,jump,DTW,16,pixel,11.9116
2,1x1,0.5,jump,DTW,16,keyWidth,0.413598
2,1x1,0.5,jump,Standard,32,pixel,14.9391
2,1x1,0.5,jump,Standard,32,keyWidth,0.518719
2,1x1,0.5,jump,DTW,32,pixel,10.2136
2,1x1,0.5,jump,DTW,32,keyWidth,0.354639
2,1x1,0.5,jump,Standard,64,pixel,14.7584
2,1x1,0.5,jump,Standard,64,keyWidth,0.512445
2,1x1,0.5,jump,DTW,64,pixel,9.23135
2,1x1,0.5,jump,DTW,64,keyWidth,0.320533
2,1x1,0.5,jump,Standard,128,pixel,14.6777
2,1x1,0.5,jump,Standard,128,keyWidth,0.509641
2,1x1,0.5,jump,DTW,128,pixel,8.89113
2,1x1,0.5,jump,DTW,128,keyWidth,0.30872
2,1x1,0.5,quickly,Standard,16,pixel,19.1265
2,1x1,0.5,quickly,Standard,16,keyWidth,0.664115
2,1x1,0.5,quickly,DTW,16,pixel,18.9716
2,1x1,0.5,quickly,DTW,16,keyWidth,0.658736
2,1x1,0.5,quickly,Standard,32,pixel,18.9703
2,1x1,0.5,quickly,Standard,32,keyWidth,0.658691
2,1x1,0.5,quickly,DTW,32,pixel,15.0252
2,1x1,0.5,quickly,DTW,32,keyWidth,0.521707
2,1x1,0.5,quickly,Standard,64,pixel,18.6205
2,1x1,0.5,quickly,Standard,64,keyWidth,0.646545
2,1x1,0.5,quickly,DTW,64,pixel,13.1274
2,1x1,0.5,quickly,DTW,64,keyWidth,0.455813
2,1x1,0.5,quickly,Standard,128,pixel,18.5474
2,1x1,0.5,quickly,Standard,128,keyWidth,0.644005
2,1x1,0.5,quickly,DTW,128,pixel,12.3879
2,1x1,0.5,quickly,DTW,128,keyWidth,0.430136
2,1x1,0.5,an,Standard,16,pixel,49.8508
2,1x1,0.5,an,Standard,16,keyWidth,1.73093
2,1x1,0.5,an,DTW,16,pixel,48.341
2,1x1,0.5,an,DTW,16,keyWidth,1.67851
2,1x1,0.5,an,Standard,32,pixel,50.5324
2,1x1,0.5,an,Standard,32,keyWidth,1.7546
2,1x1,0.5,an,DTW,32,pixel,48.8228
2,1x1,0.5,an,DTW,32,keyWidth,1.69523
2,1x1,0.5,an,Standard,64,pixel,50.8319
2,1x1,0.5,an,Standard,64,keyWidth,1.765
2,1x1,0.5,an,DTW,64,pixel,49.0805
2,1x1,0.5,an,DTW,64,keyWidth,1.70419
2,1x1,0.5,an,Standard,128,pixel,50.9852
2,1x1,0.5,an,Standard,128,keyWidth,1.77032
2,1x1,0.5,an,DTW,128,pixel,49.2161
2,1x1,0.5,an,DTW,128,keyWidth,1.70889
2,1x1,0.5,offer,Standard,16,pixel,39.7347
2,1x1,0.5,offer,Standard,16,keyWidth,1.37968
2,1x1,0.5,offer,DTW,16,pixel,30.3835
2,1x1,0.5,offer,DTW,16,keyWidth,1.05498
2,1x1,0.5,offer,Standard,32,pixel,39.2625
2,1x1,0.5,offer,Standard,32,keyWidth,1.36328
2,1x1,0.5,offer,DTW,32,pixel,28.7503
2,1x1,0.5,offer,DTW,32,keyWidth,0.998273
2,1x1,0.5,offer,Standard,64,pixel,39.0235
2,1x1,0.5,offer,Standard,64,keyWidth,1.35498
2,1x1,0.5,offer,DTW,64,pixel,27.9891
2,1x1,0.5,offer,DTW,64,keyWidth,0.971843
2,1x1,0.5,offer,Standard,128,pixel,38.9194
2,1x1,0.5,offer,Standard,128,keyWidth,1.35137
2,1x1,0.5,offer,DTW,128,pixel,27.6613
2,1x1,0.5,offer,DTW,128,keyWidth,0.960462
2,1x1,0.5,you,Standard,16,pixel,25.9834
2,1x1,0.5,you,Standard,16,keyWidth,0.902203
2,1x1,0.5,you,DTW,16,pixel,16.4437
2,1x1,0.5,you,DTW,16,keyWidth,0.570963
2,1x1,0.5,you,Standard,32,pixel,26.4449
2,1x1,0.5,you,Standard,32,keyWidth,0.918225
2,1x1,0.5,you,DTW,32,pixel,15.9452
2,1x1,0.5,you,DTW,32,keyWidth,0.553653
2,1x1,0.5,you,Standard,64,pixel,26.6394
2,1x1,0.5,you,Standard,64,keyWidth,0.924979
2,1x1,0.5,you,DTW,64,pixel,15.3423
2,1x1,0.5,you,DTW,64,keyWidth,0.53272
2,1x1,0.5,you,Standard,128,pixel,26.7402
2,1x1,0.5,you,Standard,128,keyWidth,0.928478
2,1x1,0.5,you,DTW,128,pixel,15.2025
2,1x1,0.5,you,DTW,128,keyWidth,0.527864
2,1x1,0.5,cannot,Standard,16,pixel,22.2926
2,1x1,0.5,cannot,Standard,16,keyWidth,0.774047
2,1x1,0.5,cannot,DTW,16,pixel,21.7201
2,1x1,0.5,cannot,DTW,16,keyWidth,0.754171
2,1x1,0.5,cannot,Standard,32,pixel,22.1652
2,1x1,0.5,cannot,Standard,32,keyWidth,0.769625
2,1x1,0.5,cannot,DTW,32,pixel,18.7586
2,1x1,0.5,cannot,DTW,32,keyWidth,0.651342
2,1x1,0.5,cannot,Standard,64,pixel,22.4371
2,1x1,0.5,cannot,Standard,64,keyWidth,0.779066
2,1x1,0.5,cannot,DTW,64,pixel,18.0599
2,1x1,0.5,cannot,DTW,64,keyWidth,0.627081
2,1x1,0.5,cannot,Standard,128,pixel,22.5636
