size,key,keyX,keyY,inputX,inputY,offsetX,offsetY
0.8,w,-201.6,115.2,-185,150,16.6,34.8
0.8,r,-86.4,115.2,-62,87,24.4,-28.2
0.8,t,-28.8,115.2,-37,123,-8.20001,7.80002
0.8,r,-86.4,115.2,-107,109,-20.6,-6.20003
0.8,o,201.6,115.2,176,113,-25.6,-2.19995
0.8,f,-57.6,38.4,-18,30,39.6,-8.39997
0.8,a,-230.4,38.4,-202,56,28.4,17.6
0.8,o,201.6,115.2,211,80,9.39997,-35.2
0.8,y,28.8,115.2,-54,82,-82.8,-33.2
0.8,c,-86.4,-38.4,-59,-12,27.4,26.4
0.8,r,-86.4,115.2,-11,143,75.4,27.8
0.8,o,201.6,115.2,187,176,-14.6,60.8
0.8,h,57.6,38.4,27,66,-30.6,27.6
0.8,o,201.6,115.2,209,131,7.39999,15.8
0.8,a,-230.4,38.4,-218,38,12.4,-0.399974
0.8,q,-259.2,115.2,-224,130,35.2,14.8
0.8,a,-230.4,38.4,-216,-40,14.4,-78.4
0.8,w,-201.6,115.2,-127,30,74.6,-85.2
0.8,a,-230.4,38.4,-209,74,21.4,35.6
0.8,n,86.4,-38.4,61,-26,-25.4,12.4
0.8,p,259.2,115.2,266,135,6.80003,19.8
0.8,t,-28.8,115.2,-38,162,-9.2,46.8
0.8,q,-259.2,115.2,-239,128,20.2,12.8
0.8,b,28.8,-38.4,57,28,28.2,66.4
0.8,f,-57.6,38.4,17,46,74.6,7.60001
0.8,j,115.2,38.4,42,37,-73.2,-1.39997
0.8,o,201.6,115.2,157,87,-44.6,-28.2
0.8,t,-28.8,115.2,4.99998,80,33.8,-35.2
0.8,l,230.4,38.4,191,17,-39.4,-21.4
0.8,d,-115.2,38.4,-47,37,68.2,-1.39997
0.8,t,-28.8,115.2,-79,190,-50.2,74.8
0.8,f,-57.6,38.4,-57,40,0.599985,1.59999
0.8,b,28.8,-38.4,33,-2,4.20001,36.4
0.8,w,-201.6,115.2,-164,119,37.6,3.8
0.8,j,115.2,38.4,116,22,0.800006,-16.4
0.8,q,-259.2,115.2,-202,126,57.2,10.8
0.8,i,144,115.2,169,153,25,37.8
0.8,a,-230.4,38.4,-202,53,28.4,14.6
0.8,f,-57.6,38.4,-49,25,8.59999,-13.4
0.8,y,28.8,115.2,81,108,52.2,-7.2
0.8,d,-115.2,38.4,-88,75,27.2,36.6
0.8,n,86.4,-38.4,38,-4.99997,-48.4,33.4
0.8,s,-172.8,38.4,-194,54,-21.2,15.6
