user,scale,size,sentence,WPM
1,1x3,0.5,the five boxing wizards jump quickly,32.9204
1,1x3,0.5,question that must be answered,37.9562
1,1x3,0.5,the facts get in the way,29.4194
1,1x3,0.5,the world is a stage,30
1,1x3,0.5,my favorite place to visit,30
2,1x1,0.5,the five boxing wizards jump quickly,19.4624
2,1x1,0.5,an offer you cannot refuse,19.2164
2,1x1,0.5,time to go shopping,17.9646
2,1x1,0.5,do not say anything,18.6495
2,1x1,0.5,the quick brown fox jumps over the lazy dog,17.5332
2,1x1,0.5,yes you are very smart,15.9966
2,1x1,0.5,my watch fell in the water,18.0862
2,1x1,0.5,please provide your date of birth,16.654
2,1x1,0.5,he is just like everyone else,17.7706
2,1x1,0.5,we run the risk of failure,15.962
2,1x1,1,the quick brown fox jumps over the lazy dog,17.6352
2,1x1,1,the five boxing wizards jump quickly,19.4043
2,1x1,1,are you talking to me,18.3734
2,1x1,1,all work and no play,16.6076
2,1x1,1,the world is a stage,17.4134
2,1x1,1,the force is with you,19.5853
2,1x1,1,a problem with the engine,16.7442
2,1x1,1,question that must be answered,20.4711
2,1x1,1,the power of denial,20.339
2,1x1,1,you must be getting old,21.8307
2,1x1,0.75,the facts get in the way,19.7711
2,1x1,0.75,love means many things,14.3985
2,1x1,0.75,the quick brown fox jumps over the lazy dog,18.3278
2,1x1,0.75,watch out for low flying objects,17.0186
2,1x1,0.75,one heck of a question,16.0894
2,1x1,0.75,breathing is difficult,18.09
2,1x1,0.75,if at first you do not succeed,19.1057
2,1x1,0.75,the five boxing wizards jump quickly,17.6932
2,1x1,0.75,never too rich and never too thin,18.1502
2,1x1,0.75,my favorite place to visit,16.3549
2,1x3,0.5,my watch fell in the water,22.3282
2,1x3,0.5,the quick brown fox jumps over the lazy dog,20.2228
2,1x3,0.5,the five boxing wizards jump quickly,21.2219
2,1x3,0.5,never too rich and never too thin,20.0696
2,1x3,0.5,love means many things,18.9916
2,1x3,0.5,he is just like everyone else,18.0194
2,1x3,0.5,one heck of a question,15.9287
2,1x3,0.5,breathing is difficult,17.5039
2,1x3,0.5,we run the risk of failure,17.2191
2,1x3,0.5,the facts get in the way,17.2278
2,1x3,1,watch out for low flying objects,19.1245
2,1x3,1,the five boxing wizards jump quickly,23.7986
2,1x3,1,the force is with you,19.6761
2,1x3,1,the world is a stage,19.9267
2,1x3,1,please provide your date of birth,21.2119
2,1x3,1,the power of denial,21.3286
2,1x3,1,the quick brown fox jumps over the lazy dog,21.2273
2,1x3,1,all work and no play,21.1126
2,1x3,1,a problem with the engine,20.6769
2,1x3,1,my favorite place to visit,19.4531
2,1x3,0.75,an offer you cannot refuse,22.1998
2,1x3,0.75,time to go shopping,20.4342
2,1x3,0.75,yes you are very smart,19.5069
2,1x3,0.75,the quick brown fox jumps over the lazy dog,20.5681
2,1x3,0.75,if at first you do not succeed,19.5679
2,1x3,0.75,you must be getting old,20.051
2,1x3,0.75,are you talking to me,21.8579
2,1x3,0.75,question that must be answered,21.7908
2,1x3,0.75,the five boxing wizards jump quickly,19.782
2,1x3,0.75,do not say anything,20.9036
