the five boxing wizards jump quickly
Basic
0.6 0.6
432 326.4
Began 1081.227 349 453 -0.02546296 0.2604167
Stationary 1081.289 349 453 -0.02546296 0.2604167
Stationary 1081.353 349 453 -0.02546296 0.2604167
Stationary 1081.407 349 453 -0.02546296 0.2604167
Stationary 1081.463 349 453 -0.02546296 0.2604167
Stationary 1081.52 349 453 -0.02546296 0.2604167
Stationary 1081.568 349 453 -0.02546296 0.2604167
Stationary 1081.615 349 453 -0.02546296 0.2604167
Stationary 1081.661 349 453 -0.02546296 0.2604167
Moved 1081.708 364.7479 423.3602 0.0109904 0.1696084
Moved 1081.756 385.3893 392.0549 0.05877167 0.07369775
Moved 1081.803 394.4022 377.1956 0.07963469 0.02817294
Moved 1081.85 400.4704 370.5296 0.09368151 0.007750006
Moved 1081.898 403 365.0825 0.09953707 -0.008938453
Moved 1081.946 403 360.7833 0.09953707 -0.02210991
Stationary 1081.991 403 361 0.09953707 -0.02144608
Moved 1082.063 369.6301 372.64 0.02229194 0.01421564
Moved 1082.108 339.7131 390.6434 -0.04696031 0.06937326
Moved 1082.16 304.416 416.9291 -0.1286666 0.1499055
Moved 1082.207 282.1952 439.8048 -0.1801037 0.2199902
Moved 1082.256 268.2838 458.6452 -0.2123059 0.2777121
Moved 1082.305 257.549 471.6766 -0.2371552 0.3176365
Moved 1082.354 252.8367 477.1633 -0.2480631 0.3344463
Moved 1082.403 251 480.4672 -0.2523148 0.3445685
Moved 1082.453 248.5 483 -0.2581019 0.3523284
Moved 1082.504 249 484 -0.2569445 0.3553922
Ended 1082.58 249 484 -0.2569445 0.3553922
Began 1082.733 326 343 -0.07870371 -0.07659314
Stationary 1082.815 326 343 -0.07870371 -0.07659314
Stationary 1082.869 326 343 -0.07870371 -0.07659314
Moved 1082.929 361.2424 374.5871 0.002875825 0.02018106
Moved 1082.978 386.8286 399.1905 0.06210317 0.09555906
Moved 1083.026 409.6898 417.8139 0.1150228 0.1526162
Moved 1083.074 439.9029 441.0248 0.1849605 0.2237281
Moved 1083.123 464.6711 461.6711 0.2422943 0.2869827
Moved 1083.172 473.4703 468.4703 0.2626627 0.3078134
Moved 1083.221 477 471.8727 0.2708333 0.3182374
Moved 1083.269 477 472 0.2708333 0.3186275
Moved 1083.327 430.2845 389.1406 0.1626957 0.06476912
Moved 1083.374 398.858 337.3483 0.08994918 -0.09390832
Moved 1083.419 380.3286 300.6573 0.04705707 -0.2063196
Moved 1083.466 370.6342 284.4514 0.02461632 -0.25597
Moved 1083.515 364.6923 273.3846 0.01086185 -0.2898756
Moved 1083.564 361 266.0743 0.002314846 -0.3122723
Moved 1083.614 356.5 261.5 -0.008101861 -0.3262867
Moved 1083.665 353.2964 257.2964 -0.01551757 -0.3391655
Moved 1083.711 348.975 257 -0.02552082 -0.3400736
Moved 1083.76 318.9161 317.4182 -0.09510168 -0.1549687
Moved 1083.841 304.8247 368.2272 -0.1277206 0.0006959018
Moved 1083.892 296.5 396 -0.1469907 0.08578432
Moved 1083.955 286.0424 415.9151 -0.171198 0.1467987
Moved 1084.005 273.8524 433.1476 -0.1994158 0.1995944
Moved 1084.053 266.4648 445.3027 -0.2165167 0.2368344
Moved 1084.1 259.0243 458.9515 -0.2337401 0.2786504
Moved 1084.149 253.721 467.558 -0.2460161 0.3050183
Moved 1084.198 249.7792 473.2208 -0.2551408 0.3223678
Moved 1084.246 248 477.5 -0.2592593 0.335478
Moved 1084.295 246.0662 480 -0.2637356 0.3431373
Moved 1084.374 246 480 -0.2638889 0.3431373
Ended 1084.422 246 480 -0.2638889 0.3431373
Began 1084.952 420 234 0.1388889 -0.4105392
Stationary 1085.004 420 234 0.1388889 -0.4105392
Stationary 1085.05 420 234 0.1388889 -0.4105392
Stationary 1085.095 420 234 0.1388889 -0.4105392
Stationary 1085.141 420 234 0.1388889 -0.4105392
Stationary 1085.187 420 234 0.1388889 -0.4105392
Stationary 1085.233 420 234 0.1388889 -0.4105392
Moved 1085.281 410 248.7153 0.1157407 -0.3654555
Moved 1085.331 408 264.5076 0.1111111 -0.3170724
Moved 1085.38 407 273.4099 0.1087963 -0.289798
Moved 1085.431 407 278.3857 0.1087963 -0.2745537
Moved 1085.478 407 280.3459 0.1087963 -0.268548
Moved 1085.526 407 282.2719 0.1087963 -0.2626474
Moved 1085.575 407 286.3885 0.1087963 -0.2500353
Moved 1085.624 407 305.0967 0.1087963 -0.1927185
Moved 1085.671 430.4856 343.274 0.1631611 -0.07575353
Moved 1085.72 445.9726 376.9268 0.1990106 0.02734932
Moved 1085.8 459.657 402.657 0.2306876 0.1061797
Moved 1085.847 465.8276 411.6552 0.2449712 0.1337475
Moved 1085.892 472.0651 420.1302 0.25941 0.1597127
Moved 1085.946 481 428 0.2800926 0.1838235
Moved 1085.999 486.7863 433.7863 0.2934868 0.2015512
Moved 1086.05 492.5 442 0.306713 0.2267157
Moved 1086.097 495.4813 446.4813 0.313614 0.240445
Moved 1086.145 495 450 0.3125 0.2512255
Moved 1086.196 450.1331 428.8068 0.2086416 0.1862952
Moved 1086.248 328.6789 345.2109 -0.07250264 -0.06981934
Moved 1086.327 280.8909 297.5212 -0.183123 -0.2159278
Moved 1086.375 273.3152 287.6304 -0.2006593 -0.2462304
Moved 1086.428 269.3877 281.3876 -0.2097508 -0.2653565
Moved 1086.481 266.5 276.5 -0.2164352 -0.2803308
Moved 1086.529 266 274.5 -0.2175926 -0.2864583
Moved 1086.578 265 273.5 -0.2199074 -0.2895221
Moved 1086.626 264 273 -0.2222222 -0.291054
Stationary 1086.673 264 273 -0.2222222 -0.291054
Moved 1086.718 285.3546 298.5481 -0.1727903 -0.2127816
Moved 1086.765 339.3184 352.1401 -0.047874 -0.04859046
Moved 1086.841 411.1402 431.1402 0.1183801 0.1934443
Moved 1086.893 449.5517 465.0345 0.2072956 0.297287
Moved 1086.942 463.3182 476.5455 0.2391625 0.3325536
Moved 1086.992 468.9919 479.9919 0.252296 0.3431124
Moved 1087.042 470.5 481 0.2557871 0.3462009
Moved 1087.092 471 482 0.2569444 0.3492648
