we run the risk of failure
Basic
0.4 0.4
288 217.6
Began 1598.444 237 416 -0.4270833 0.2205882
Stationary 1598.523 237 416 -0.4270833 0.2205882
Stationary 1598.591 237 416 -0.4270833 0.2205882
Stationary 1598.655 237 416 -0.4270833 0.2205882
Moved 1598.72 247.0995 416 -0.3920158 0.2205882
Moved 1598.79 258.8192 416 -0.3513224 0.2205882
Moved 1598.857 275.5767 425 -0.2931365 0.2619486
Moved 1598.923 290.1331 428.0665 -0.2425935 0.2760411
Moved 1598.989 296 429 -0.2222222 0.280331
Moved 1599.054 299.249 429 -0.2109412 0.280331
Moved 1599.119 300 429 -0.2083334 0.280331
Ended 1599.182 300 429 -0.2083334 0.280331
Began 1599.688 334 447 -0.09027779 0.3630516
Stationary 1599.766 334 447 -0.09027779 0.3630516
Stationary 1599.839 334 447 -0.09027779 0.3630516
Stationary 1599.91 334 447 -0.09027779 0.3630516
Stationary 1599.981 334 447 -0.09027779 0.3630516
Stationary 1600.046 334 447 -0.09027779 0.3630516
Stationary 1600.118 334 447 -0.09027779 0.3630516
Stationary 1600.186 334 447 -0.09027779 0.3630516
Moved 1600.255 376.4814 447 0.05722701 0.3630516
Moved 1600.329 394.459 447 0.1196492 0.3630516
Moved 1600.401 398.6324 447 0.1341404 0.3630516
Moved 1600.468 401.3389 447 0.1435378 0.3630516
Moved 1600.534 405.1851 419.7047 0.1568925 0.2376134
Moved 1600.602 407 370.5096 0.1631944 0.01153329
Moved 1600.672 409 331.4646 0.1701389 -0.1679015
Moved 1600.743 410 317.4158 0.1736111 -0.2324643
Moved 1600.814 411 310.0497 0.1770833 -0.2663155
Moved 1600.913 412 303.8053 0.1805556 -0.2950124
Moved 1600.981 412 301.8736 0.1805556 -0.3038898
Moved 1601.045 412 300.9199 0.1805556 -0.3082725
Moved 1601.109 412 298.8769 0.1805556 -0.3176614
Moved 1601.174 413 297.751 0.1840278 -0.3228352
Ended 1601.252 413 298 0.1840278 -0.3216912
Began 1601.484 322 450 -0.1319444 0.3768383
Stationary 1601.561 322 450 -0.1319444 0.3768383
Stationary 1601.627 322 450 -0.1319444 0.3768383
Moved 1601.703 348.2673 427.7327 -0.04073844 0.2745067
Moved 1601.774 369.5277 404.6297 0.03308237 0.1683351
Moved 1601.841 381.4401 392.5599 0.07444487 0.1128672
