watch out for low flying objects
Basic
0.4 0.4
288 115.2
Began 977.527 281 296 -0.2743056 0.4861112
Stationary 977.5818 281 296 -0.2743056 0.4861112
Stationary 977.6307 281 296 -0.2743056 0.4861112
Stationary 977.6785 281 296 -0.2743056 0.4861112
Stationary 977.7252 281 296 -0.2743056 0.4861112
Stationary 977.7736 281 296 -0.2743056 0.4861112
Stationary 977.8223 281 296 -0.2743056 0.4861112
Stationary 977.869 281 296 -0.2743056 0.4861112
Moved 977.9182 270.0233 289.1628 -0.3124192 0.4267608
Moved 977.9695 264.5 281 -0.3315973 0.3559028
Moved 978.0211 260.2841 274.5681 -0.346236 0.3000705
Moved 978.0699 255.9836 267.9836 -0.3611679 0.2429136
Moved 978.1174 253.0257 262.0513 -0.3714387 0.1914178
Moved 978.1677 249.2949 252.5898 -0.3843927 0.1092869
Moved 978.218 247.3587 248.3586 -0.3911158 0.07255793
Moved 978.2903 247 245 -0.3923612 0.04340278
Moved 978.342 246 242.6255 -0.3958333 0.02279096
Stationary 978.3903 246 243 -0.3958333 0.02604167
Moved 978.4387 272.1807 251.2892 -0.3049281 0.0979964
Moved 978.4888 297.3024 264.5349 -0.2177001 0.2129767
Moved 978.538 311.0362 271.5181 -0.1700133 0.2735943
Moved 978.5887 326.179 281.179 -0.1174341 0.3574565
Moved 978.638 335.7272 288.7272 -0.08428053 0.4229792
Moved 978.6868 339.3292 290 -0.07177361 0.4340278
Moved 978.7349 343.0332 292 -0.05891256 0.4513892
Moved 978.8096 345.3718 293 -0.05079225 0.4600695
Moved 978.8579 347.2492 293 -0.04427366 0.4600695
Moved 978.9056 349.0769 293 -0.03792733 0.4600695
Moved 978.9532 350.034 293 -0.03460407 0.4600695
Moved 979.001 350 284.5884 -0.03472224 0.3870524
Moved 979.0516 344.4037 270.2018 -0.05415395 0.2621688
Moved 979.0999 334.5807 252.1615 -0.0882613 0.1055686
Moved 979.1494 324.5492 230.6477 -0.123093 -0.08118312
Moved 979.1971 318.6962 220.0887 -0.1434159 -0.172841
Moved 979.2464 314.2894 211.5789 -0.1587173 -0.2467111
Moved 979.3257 308 198.9728 -0.1805556 -0.3561388
Moved 979.3771 305.1852 193.1852 -0.1903291 -0.4063787
Moved 979.4255 303.5 189.5 -0.1961806 -0.4383681
Moved 979.4753 304 188.9125 -0.1944444 -0.4434682
