we run the risk of failure
Basic
0.6 0.6
432 326.4
Began 880.4887 167 420 -0.4467593 0.1593137
Stationary 880.572 167 420 -0.4467593 0.1593137
Stationary 880.6068 167 420 -0.4467593 0.1593137
Stationary 880.6412 167 420 -0.4467593 0.1593137
Stationary 880.674 167 420 -0.4467593 0.1593137
Moved 880.7075 180.2903 420 -0.4159946 0.1593137
Moved 880.7393 184.3707 420 -0.4065494 0.1593137
Moved 880.7709 190.12 420 -0.3932408 0.1593137
Moved 880.8031 195.8676 420 -0.379936 0.1593137
Moved 880.8381 206.5025 420 -0.3553182 0.1593137
Moved 880.8703 215.9964 420 -0.3333415 0.1593137
Moved 880.9106 225.4719 420 -0.3114076 0.1593137
Moved 880.9427 243.5099 420 -0.2696529 0.1593137
Moved 880.9849 255.8706 420 -0.2410403 0.1593137
Moved 881.0211 268.8344 420 -0.2110314 0.1593137
Moved 881.0541 276.3757 420 -0.1935747 0.1593137
Moved 881.0849 283.3296 420 -0.1774777 0.1593137
Moved 881.1163 289.0778 423.7723 -0.1641717 0.1708712
Moved 881.1477 293.4102 427 -0.1541432 0.1807599
Moved 881.1788 295.9828 427.9828 -0.1481878 0.1837711
Moved 881.2111 297.374 428 -0.1449677 0.1838235
Moved 881.2613 298 429.5 -0.1435185 0.1884191
Moved 881.2926 298 429 -0.1435185 0.1868873
Moved 881.3241 299 429 -0.1412037 0.1868873
Moved 881.3552 299 430.0161 -0.1412037 0.1900004
Stationary 881.3856 299 430.0161 -0.1412037 0.1900004
Stationary 881.4167 299 430.0161 -0.1412037 0.1900004
Stationary 881.4495 299 430 -0.1412037 0.189951
Ended 881.4813 299 430 -0.1412037 0.189951
Began 882.4562 334 470 -0.06018519 0.3125
Stationary 882.5034 334 470 -0.06018519 0.3125
Stationary 882.536 334 470 -0.06018519 0.3125
Stationary 882.569 334 470 -0.06018519 0.3125
Stationary 882.6011 334 470 -0.06018519 0.3125
Stationary 882.6325 334 470 -0.06018519 0.3125
Stationary 882.6638 334 470 -0.06018519 0.3125
Stationary 882.6985 334 470 -0.06018519 0.3125
Stationary 882.7335 334 470 -0.06018519 0.3125
Stationary 882.766 334 470 -0.06018519 0.3125
Moved 882.8043 347.3083 477 -0.02937903 0.3339461
Moved 882.8373 352.0504 477 -0.01840194 0.3339461
Moved 882.8713 357.7675 477 -0.005167772 0.3339461
Moved 882.9066 363.7545 477 0.008690855 0.3339461
Moved 882.9406 371.2908 471.6547 0.02613614 0.3175695
Moved 882.9728 385.1425 466.9288 0.05820016 0.3030907
Moved 883.0215 398.1484 464 0.08830646 0.2941177
Moved 883.0562 406.7859 462 0.1083008 0.2879903
Moved 883.0897 416.2103 461 0.1301164 0.2849264
Moved 883.1227 422 461 0.1435185 0.2849264
Moved 883.1776 431.0659 460 0.1645043 0.2818628
Moved 883.212 434.9385 459 0.1734688 0.2787991
Moved 883.2466 436.5078 457.4922 0.1771014 0.2741797
Moved 883.28 439.8269 451.3461 0.1847845 0.2553497
Moved 883.3138 441 438.4994 0.1875 0.2159907
Moved 883.3481 441 418.217 0.1875 0.1538513
Moved 883.3819 441 396.1275 0.1875 0.086175
Moved 883.4152 433.1264 375.1106 0.1692741 0.02178491
Moved 883.4502 429.0477 352.2383 0.1598325 -0.0482893
Moved 883.4859 426.1959 338.7834 0.1532311 -0.08951141
Moved 883.5423 420.5 318 0.1400463 -0.1531863
Moved 883.5745 420 308.6476 0.1388889 -0.1818395
Moved 883.608 418 300.0809 0.1342593 -0.2080856
Moved 883.6421 417 294.1563 0.1319444 -0.2262368
Moved 883.6874 416 287.2031 0.1296297 -0.2475394
Moved 883.7231 416 283.3371 0.1296297 -0.2593838
Moved 883.7621 416 277.0751 0.1296297 -0.278569
Moved 883.7937 416 274.4614 0.1296297 -0.2865764
Moved 883.8257 416 271.5894 0.1296297 -0.2953757
Moved 883.8595 416 268.7316 0.1296297 -0.3041311
Moved 883.9127 416 264 0.1296297 -0.3186274
Ended 883.9473 416 262 0.1296297 -0.3247548
Began 884.4847 355 433 -0.01157408 0.1991421
Stationary 884.5264 355 433 -0.01157408 0.1991421
Stationary 884.5593 355 433 -0.01157408 0.1991421
Stationary 884.5911 355 433 -0.01157408 0.1991421
Stationary 884.6237 355 433 -0.01157408 0.1991421
Stationary 884.6552 355 433 -0.01157408 0.1991421
Stationary 884.6875 355 433 -0.01157408 0.1991421
Stationary 884.719 355 433 -0.01157408 0.1991421
Stationary 884.7501 355 433 -0.01157408 0.1991421
Stationary 884.7816 355 433 -0.01157408 0.1991421
Moved 884.8134 364.2851 433 0.009919207 0.1991421
Stationary 884.8461 364.2851 433 0.009919207 0.1991421
Moved 884.8779 366.7414 433 0.01560499 0.1991421
Moved 884.909 371.2189 422.7811 0.02596964 0.1678344
Moved 884.941 382.8594 410.1406 0.05291522 0.1291073
Moved 884.9891 393.8732 398.1268 0.07841021 0.09230012
Moved 885.0218 400.4406 390.5594 0.09361247 0.06911582
Moved 885.0532 406.0281 385.3146 0.1065466 0.05304711
Moved 885.0875 410.4289 379.5711 0.1167335 0.03545069
Moved 885.1316 415.5 371 0.1284723 0.009191177
Moved 885.1664 419.0229 366.9771 0.1366272 -0.003134036
Moved 885.2017 420 361.5 0.1388889 -0.01991412
Moved 885.2368 420 360.626 0.1388889 -0.0225918
Moved 885.2688 420 359.7864 0.1388889 -0.02516429
Moved 885.3012 414.315 360 0.1257291 -0.0245098
Moved 885.3525 392.2487 360 0.07464985 -0.0245098
Moved 885.3845 380.2624 369.4327 0.04690359 0.004389333
Moved 885.4169 359.2099 374.758 -0.001828919 0.02070464
Moved 885.4501 345.8474 382.261 -0.0327606 0.04369194
Moved 885.4833 334.378 391.6219 -0.05931015 0.07237112
Moved 885.5174 322.764 402.236 -0.08619438 0.1048895
Moved 885.5501 312.2091 413.791 -0.1106271 0.140291
Moved 885.5885 299.1752 430.7664 -0.1407981 0.1922989
Moved 885.6207 292.4076 438.5925 -0.156464 0.2162759
Moved 885.653 287.3277 447.017 -0.168223 0.2420864
Moved 885.7057 280.2869 456.4262 -0.1845211 0.2709136
