the facts get in the way
Basic
0.6 0.6
432 172.8
Moved 358.0676 432.8249 250.2994 0.168576 0.05960341
Moved 358.1016 427.0135 236.0337 0.1551238 -0.022953
Moved 358.138 421.8517 222.5553 0.1431753 -0.1009531
Moved 358.1745 419.296 214.8881 0.1372593 -0.1453236
Moved 358.2058 418 205.8712 0.1342593 -0.1975046
Moved 358.2372 415.8633 201.8633 0.1293133 -0.2206984
Moved 358.2689 416 199.5 0.1296297 -0.2343748
Moved 358.3004 416 198.8579 0.1296297 -0.2380908
Ended 358.346 416 199 0.1296297 -0.2372683
Began 358.6371 316 316 -0.1018519 0.4398148
Stationary 358.6748 316 316 -0.1018519 0.4398148
Stationary 358.7076 316 316 -0.1018519 0.4398148
Stationary 358.7385 316 316 -0.1018519 0.4398148
Moved 358.77 316 302.7797 -0.1018519 0.3633083
Moved 358.8014 325.3371 296.6629 -0.08023819 0.3279103
Moved 358.833 331.8749 290.1251 -0.06510437 0.2900754
Moved 358.8632 338 285 -0.05092591 0.2604167
Moved 358.8933 347.4459 276.5541 -0.02906049 0.2115402
Moved 358.9232 357.665 269.2513 -0.005405148 0.1692783
Moved 358.9562 368.694 261.653 0.02012511 0.125307
Moved 358.9897 378.2076 254.8617 0.04214714 0.08600518
Moved 359.031 389.4777 245.5223 0.06823529 0.03195798
Moved 359.0639 392 242.0048 0.07407407 0.0116018
Moved 359.0954 394.5 239.5 0.07986108 -0.002893519
Moved 359.1272 394 237.8879 0.07870366 -0.0122224
Moved 359.161 386.0529 235.0066 0.06030759 -0.02889686
Moved 359.2014 356.007 235 -0.009242992 -0.02893519
Moved 359.2339 333.781 248.3196 -0.06069203 0.04814572
Moved 359.2673 314.9804 257.0098 -0.104212 0.09843633
Moved 359.2987 297.3625 267.425 -0.1449943 0.1587096
Moved 359.3352 280.5 277 -0.1840278 0.2141204
Moved 359.3882 254.0507 293.9662 -0.245253 0.3123043
Moved 359.4218 247.4592 297.7704 -0.260511 0.3343196
Moved 359.454 242.6568 300.1716 -0.2716279 0.3482155
Moved 359.4854 240.0093 302 -0.2777562 0.3587963
Moved 359.5176 238 303.7456 -0.2824074 0.3688982
Moved 359.5482 238 306.5772 -0.2824074 0.385285
Ended 359.5819 238 309.5 -0.2824074 0.4021993
Began 359.7583 221 306 -0.3217593 0.3819445
Stationary 359.8019 221 306 -0.3217593 0.3819445
