my watch fell in the water
Basic
0.6 0.6
432 172.8
Moved 834.3188 246.9616 297 -0.261663 0.3298613
Moved 834.4041 245.9892 298.0109 -0.263914 0.335711
Stationary 834.4614 245.9892 298.0109 -0.263914 0.335711
Moved 834.5151 244.9966 299.0034 -0.2662116 0.341455
Stationary 834.5702 244.9966 299.0034 -0.2662116 0.341455
Ended 834.6245 245 299 -0.2662037 0.3414354
Backspace 836.6183
Began 837.6501 479 189 0.275463 -0.2951387
Stationary 837.7154 479 189 0.275463 -0.2951387
Stationary 837.7713 479 189 0.275463 -0.2951387
Stationary 837.8298 479 189 0.275463 -0.2951387
Stationary 837.8846 479 189 0.275463 -0.2951387
Stationary 837.9396 479 189 0.275463 -0.2951387
Stationary 837.9961 479 189 0.275463 -0.2951387
Moved 838.0501 459.3673 215.6327 0.230017 -0.1410144
Moved 838.1056 442.0009 231.999 0.1898169 -0.04630195
Moved 838.1614 417.6911 256.3088 0.1335443 0.09437986
Moved 838.2173 398.0421 276.9579 0.0880605 0.2138768
Moved 838.2715 389.2122 286.5756 0.06762077 0.2695349
Moved 838.3252 382.8306 293.1694 0.05284856 0.3076931
Moved 838.3785 379.9597 295.0403 0.04620304 0.3185202
Moved 838.4536 374.6588 298 0.03393243 0.3356482
Moved 838.5072 374 299 0.03240744 0.3414354
Ended 838.559 374 299 0.03240744 0.3414354
Began 838.7907 210 310 -0.3472222 0.4050926
Stationary 838.8537 210 310 -0.3472222 0.4050926
Stationary 838.9086 210 310 -0.3472222 0.4050926
Moved 838.9626 199.3138 290.4706 -0.3719589 0.2920755
Moved 839.024 175.9661 260.4491 -0.4260044 0.1183399
Moved 839.0822 158.924 237.7721 -0.4654536 -0.01289279
Moved 839.141 150.538 229.538 -0.4848658 -0.06054419
Moved 839.2 149 227 -0.4884259 -0.07523149
Stationary 839.2569 149 227 -0.4884259 -0.07523149
Moved 839.3159 197.7876 261.3072 -0.3754916 0.1233055
Moved 839.3749 258.4855 292.2427 -0.2349873 0.3023307
Moved 839.4327 298.2072 307.0829 -0.1430388 0.3882112
Moved 839.492 321.1994 313 -0.08981625 0.4224537
Moved 839.549 334.1238 316 -0.05989859 0.4398148
Moved 839.6125 341.117 317 -0.04371062 0.4456021
Moved 839.6958 344 306.723 -0.03703703 0.3861286
Moved 839.7528 328.6946 275.4911 -0.07246609 0.2053882
Moved 839.8137 312.5 240 -0.1099537 0
Moved 839.8709 307.17 224.51 -0.1222916 -0.08964115
Moved 839.928 303 208.2988 -0.1319445 -0.1834559
Moved 839.9874 300 196.092 -0.1388889 -0.254097
Moved 840.0476 299 189.6692 -0.1412037 -0.2912663
Moved 840.1027 299 187.7987 -0.1412037 -0.3020908
Moved 840.1609 312.1734 188 -0.1107097 -0.3009259
Moved 840.2181 346.6718 207.5573 -0.03085241 -0.1877474
Moved 840.3037 379.3153 223.1577 0.04471143 -0.09746675
Moved 840.3596 396.0747 231.0498 0.0835063 -0.05179494
Moved 840.4151 408.5051 236 0.1122803 -0.02314815
Moved 840.472 414.7215 238.7214 0.1266701 -0.0073991
Moved 840.5287 419 240 0.1365741 0
Moved 840.588 421 241 0.1412037 0.005787037
Ended 840.6424 421 241 0.1412037 0.005787037
Began 840.8311 327 220 -0.07638887 -0.1157407
Stationary 840.8924 327 220 -0.07638887 -0.1157407
Stationary 840.9439 327 220 -0.07638887 -0.1157407
Stationary 840.9987 327 220 -0.07638887 -0.1157407
Stationary 841.05 327 220 -0.07638887 -0.1157407
Moved 841.1214 313.3955 242.6045 -0.1078808 0.01507229
Moved 841.1834 296.1726 258.0619 -0.1477486 0.104525
Moved 841.2427 272.4604 277.0317 -0.2026379 0.2143037
Moved 841.2971 253.1799 293.3501 -0.2472687 0.3087392
Moved 841.3525 237.625 304.375 -0.2832754 0.3725405
Moved 841.4077 231.8862 309.1138 -0.2965598 0.3999642
Moved 841.4639 230 314.5 -0.3009259 0.4311343
Moved 841.5168 230 316 -0.3009259 0.4398148
Moved 841.5707 307.819 313.4803 -0.1207894 0.4252333
Moved 841.6252 387.0695 289.7239 0.06266097 0.2877543
Moved 841.7058 481.5848 251.7076 0.2814463 0.06775273
Moved 841.7664 504.0878 240 0.3335367 0
Moved 841.8253 511.9478 235.0521 0.3517311 -0.02863354
Moved 841.8823 516.2239 234 0.3616293 -0.03472205
Moved 841.939 519.5 232 0.3692129 -0.0462963
Moved 841.9969 521 229.6689 0.3726852 -0.0597862
Ended 842.054 522 230 0.375 -0.05787019
Began 842.1757 482 313 0.2824074 0.4224537
Stationary 842.23 482 313 0.2824074 0.4224537
Stationary 842.2859 482 313 0.2824074 0.4224537
Moved 842.3395 482 295.1915 0.2824074 0.3193951
Moved 842.4 465.5822 257.3289 0.2444033 0.1002829
Moved 842.4565 457.6342 226.5369 0.2260051 -0.07791166
Moved 842.5115 452.5 210 0.2141203 -0.1736111
Moved 842.5657 447 195.8903 0.2013889 -0.2552646
Moved 842.62 444 188.2656 0.1944444 -0.2993888
Moved 842.6937 439.8554 181.8553 0.1848504 -0.3364853
Moved 842.749 439 178.4373 0.1828703 -0.3562657
Ended 842.8028 438 178 0.1805556 -0.3587963
Began 842.9864 338 285 -0.05092591 0.2604167
Stationary 843.0443 338 285 -0.05092591 0.2604167
Moved 843.0985 356.5577 273.1237 -0.007968347 0.191688
Moved 843.1552 400.0611 240.5634 0.09273399 0.003260153
Moved 843.213 416.4973 228.5028 0.1307806 -0.06653468
Moved 843.2704 422.9857 224.0143 0.1458002 -0.09250995
Moved 843.3273 425.3869 222.6132 0.1513585 -0.1006183
Moved 843.3847 425 222 0.150463 -0.1041665
Moved 843.4445 392.7302 232.1079 0.07576436 -0.04567164
Moved 843.5032 350.4719 250.3691 -0.02205581 0.06000678
Moved 843.5693 313.8114 264.3962 -0.106918 0.1411816
Moved 843.6253 288.9229 273.6924 -0.1645302 0.1949793
Moved 843.6831 277.119 277.8809 -0.191854 0.2192185
Moved 843.7418 267.5 282 -0.2141203 0.2430556
Moved 843.7977 261.9508 285 -0.2269657 0.2604167
Moved 843.853 258.6462 287 -0.2346153 0.2719909
Moved 843.9106 258 288.5 -0.2361111 0.2806711
Ended 843.9648 257 288 -0.2384259 0.2777778
Began 844.1674 192 282 -0.3888888 0.2430556
Stationary 844.233 192 282 -0.3888888 0.2430556
Moved 844.2889 187.3954 276.2442 -0.3995478 0.2097465
Moved 844.3599 141.3445 222.6805 -0.506147 -0.1002282
Moved 844.4155 118.6024 187.9037 -0.5587907 -0.3014833
Moved 844.4729 117 182.5597 -0.5625001 -0.332409
Moved 844.5316 117 182 -0.5625001 -0.335648
Moved 844.5918 171.767 228.7761 -0.4357247 -0.064953
Moved 844.6483 231.4599 264.512 -0.2975465 0.1418516
Moved 844.7049 298.7319 295.9106 -0.1418242 0.323557
Moved 844.7606 326.9998 307.6666 -0.07638927 0.3915893
Moved 844.8157 335.9647 310 -0.05563731 0.4050926
Moved 844.8761 338 311 -0.05092591 0.4108796
Moved 844.9485 314.0389 311 -0.1063914 0.4108796
Moved 845.0029 280.4433 300.4919 -0.184159 0.3500686
Moved 845.0567 258.1288 298 -0.2358129 0.3356482
Moved 845.1102 246.2671 298 -0.2632706 0.3356482
Moved 845.1647 235.5265 298 -0.2881332 0.3356482
Moved 845.2204 230.0521 298 -0.3008054 0.3356482
Moved 845.2746 228 298 -0.3055556 0.3356482
Stationary 845.3282 228 298 -0.3055556 0.3356482
Moved 845.3833 241.4151 298 -0.274502 0.3356482
Moved 845.4401 261.3039 305 -0.2284633 0.3761576
Moved 845.5277 279.1604 306 -0.1871287 0.3819445
Moved 845.5826 286.3124 306 -0.170573 0.3819445
Ended 845.6451 287 306 -0.1689815 0.3819445
PhraseEnd 846.6431
