the facts get in the way
Basic
0.4 0.4
288 217.6
Moved 507.3154 282.1987 448 -0.2701433 0.3676471
Moved 507.3519 282 449 -0.2708333 0.3722427
Moved 507.3914 281 450.5 -0.2743056 0.3791361
Ended 507.4284 281 450 -0.2743056 0.3768383
Began 508.5062 337 352 -0.07986113 -0.07352942
Stationary 508.5509 337 352 -0.07986113 -0.07352942
Stationary 508.5937 337 352 -0.07986113 -0.07352942
Stationary 508.6289 337 352 -0.07986113 -0.07352942
Stationary 508.6655 337 352 -0.07986113 -0.07352942
Stationary 508.7027 337 352 -0.07986113 -0.07352942
Moved 508.7386 324.5767 352 -0.1229976 -0.07352942
Moved 508.776 319.8388 352 -0.1394486 -0.07352942
Moved 508.8138 313.2365 352 -0.1623733 -0.07352942
Moved 508.8521 308.2077 359.9308 -0.1798345 -0.03708265
Moved 508.8961 296.3241 362 -0.2210969 -0.02757339
Moved 508.933 284.5 365.5 -0.2621528 -0.01148897
Moved 508.9711 279.922 366 -0.2780485 -0.009191178
Moved 509.0227 275.6591 367 -0.2928505 -0.004595448
Moved 509.0626 271.7375 368 -0.306467 0
Moved 509.101 268.355 369 -0.3182119 0.004595589
Moved 509.1388 265.5 369 -0.328125 0.004595589
Moved 509.1768 261.974 369 -0.3403679 0.004595589
Moved 509.2166 250.9467 369 -0.3786574 0.004595589
Moved 509.2556 238.0809 369 -0.4233302 0.004595589
Moved 509.2926 231.5696 370 -0.4459389 0.009191178
Moved 509.3323 221.1103 370 -0.4822558 0.009191178
Moved 509.3686 217.689 370 -0.4941355 0.009191178
Moved 509.4357 214 370 -0.5069444 0.009191178
Stationary 509.4723 214 370 -0.5069444 0.009191178
Moved 509.5089 214 357.4048 -0.5069444 -0.04869097
Moved 509.5496 241.371 334.7863 -0.4119063 -0.1526367
Moved 509.586 251.0916 324.9084 -0.3781541 -0.1980313
Moved 509.6255 265.0851 309.9149 -0.3295657 -0.2669351
Moved 509.6664 274.5 300.5 -0.296875 -0.3102022
Moved 509.7097 284.7313 294.1343 -0.2613497 -0.3394562
Moved 509.7473 291.8294 290 -0.2367035 -0.3584559
Moved 509.7838 295.7022 288.2977 -0.2232562 -0.3662787
Moved 509.841 301.0675 287 -0.2046266 -0.3722425
Moved 509.8773 303.8752 287 -0.1948778 -0.3722425
Moved 509.9145 311.4103 299.2137 -0.1687141 -0.3161133
Moved 509.9508 326.9252 327.8503 -0.1148432 -0.1845113
Moved 509.9862 335.9588 350.5704 -0.08347646 -0.08009911
Moved 510.0266 347.9182 381.7955 -0.04195065 0.06339859
Moved 510.0641 352.7166 396.7915 -0.02528951 0.1323139
Moved 510.1126 357.7722 417.3166 -0.007735491 0.2266388
Moved 510.1544 360 429.2316 0 0.2813954
Moved 510.1914 360.6454 433.2907 0.002240837 0.3000492
Moved 510.2499 361 440.3566 0.003472269 0.3325213
Moved 510.2867 361 444.3506 0.003472269 0.350876
Moved 510.3241 361 446.5 0.003472269 0.3607538
Moved 510.3608 361 448.0839 0.003472269 0.3680326
Moved 510.3981 361 449.2216 0.003472269 0.3732611
Stationary 510.4368 361 449 0.003472269 0.3722427
Stationary 510.4746 361 449 0.003472269 0.3722427
Moved 510.5118 355.8505 449 -0.01440801 0.3722427
Moved 510.5491 344.8835 437.8835 -0.0524877 0.321156
