my watch fell in the water
Basic
0.6 0.6
432 326.4
Began 1100.371 493 187 0.3078704 -0.5545343
Stationary 1100.421 493 187 0.3078704 -0.5545343
Stationary 1100.469 493 187 0.3078704 -0.5545343
Stationary 1100.517 493 187 0.3078704 -0.5545343
Stationary 1100.566 493 187 0.3078704 -0.5545343
Stationary 1100.614 493 187 0.3078704 -0.5545343
Stationary 1100.666 493 187 0.3078704 -0.5545343
Stationary 1100.715 493 187 0.3078704 -0.5545343
Stationary 1100.766 493 187 0.3078704 -0.5545343
Stationary 1100.813 493 187 0.3078704 -0.5545343
Moved 1100.862 472.2465 205.7535 0.2598298 -0.4970786
Moved 1100.921 443.2547 236.6179 0.1927193 -0.4025185
Moved 1100.978 403.8513 296.3765 0.1015077 -0.2194349
Moved 1101.026 374.5457 350.295 0.03367056 -0.05424322
Moved 1101.074 361.8301 369.9247 0.004236401 0.005896699
Moved 1101.122 345.4404 389.4495 -0.03370285 0.0657155
Moved 1101.199 326.2882 406.7118 -0.07803664 0.1186024
Moved 1101.248 322 412.448 -0.08796295 0.1361765
Moved 1101.296 322 416.4359 -0.08796295 0.1483944
Moved 1101.347 322 418 -0.08796295 0.1531863
Moved 1101.406 322 419.5 -0.08796295 0.1577819
Moved 1101.457 322 420 -0.08796295 0.1593137
Stationary 1101.506 322 420 -0.08796295 0.1593137
Moved 1101.555 322 421 -0.08796295 0.1623774
Moved 1101.603 322 422 -0.08796295 0.1654412
Stationary 1101.654 322 422 -0.08796295 0.1654412
Moved 1101.731 322 423 -0.08796295 0.1685049
Stationary 1101.783 322 423 -0.08796295 0.1685049
Stationary 1101.829 322 423 -0.08796295 0.1685049
Stationary 1101.875 322 423 -0.08796295 0.1685049
Stationary 1101.92 322 423 -0.08796295 0.1685049
Ended 1101.966 322 423 -0.08796295 0.1685049
Backspace 1102.961
Began 1104.781 481 206 0.2800926 -0.4963235
Stationary 1104.839 481 206 0.2800926 -0.4963235
Stationary 1104.904 481 206 0.2800926 -0.4963235
Stationary 1104.957 481 206 0.2800926 -0.4963235
Moved 1105.004 481 220.3588 0.2800926 -0.4523321
Moved 1105.053 468.5701 242.2898 0.2513196 -0.3851415
Moved 1105.102 459.9824 266.0529 0.2314407 -0.3123378
Moved 1105.15 449.0881 289.8237 0.2062225 -0.2395107
Moved 1105.2 441.4648 309.0705 0.1885758 -0.1805438
Moved 1105.252 427.2898 350.5508 0.1557635 -0.05345943
Moved 1105.301 416.9572 383.1284 0.1318454 0.04634942
Moved 1105.348 407.0498 404.9003 0.1089117 0.1130524
Moved 1105.396 397.4303 421.8546 0.0866442 0.1649956
Moved 1105.459 390.3382 433.3236 0.07022728 0.2001336
Moved 1105.507 387.0354 440.9292 0.0625819 0.223435
Moved 1105.561 381.7119 449.2881 0.05025904 0.2490446
Moved 1105.608 378.3128 457.6872 0.04239072 0.2747769
Moved 1105.657 375.0177 462.9823 0.03476322 0.2909997
Moved 1105.707 373.0621 466.9379 0.03023634 0.3031185
Moved 1105.761 370.3315 470 0.02391557 0.3125
Moved 1105.809 368.6727 471 0.02007574 0.3155637
Moved 1105.859 367.5 472 0.01736114 0.3186275
Moved 1105.907 367 473.3197 0.01620372 0.3226707
Ended 1105.987 364 473 0.009259283 0.3216912
Began 1106.855 167 462 -0.4467593 0.2879903
Stationary 1106.913 167 462 -0.4467593 0.2879903
Stationary 1106.961 167 462 -0.4467593 0.2879903
Stationary 1107.012 167 462 -0.4467593 0.2879903
Stationary 1107.062 167 462 -0.4467593 0.2879903
Stationary 1107.111 167 462 -0.4467593 0.2879903
Moved 1107.159 167 447.0861 -0.4467593 0.242298
Moved 1107.207 151.0341 429.0853 -0.4837173 0.1871487
Moved 1107.256 141.4438 406.3315 -0.5059171 0.1174371
Moved 1107.305 135.8171 388.0856 -0.5189419 0.06153692
Moved 1107.354 134 370.3599 -0.5231482 0.00723016
Moved 1107.402 134 361.3044 -0.5231482 -0.02051335
Moved 1107.453 134 357 -0.5231482 -0.03370098
Moved 1107.501 202.5 394 -0.3645833 0.07965691
Moved 1107.548 245.3402 422.8934 -0.2654163 0.1681785
Moved 1107.595 272.7488 443.9573 -0.2019703 0.2327124
Moved 1107.667 319.8139 474.2093 -0.09302338 0.3253961
Moved 1107.714 329.8078 479 -0.06988933 0.3400736
Moved 1107.76 332 481.5 -0.06481484 0.347733
Moved 1107.813 333 481 -0.06249999 0.3462009
Moved 1107.86 302.6406 427.6891 -0.1327763 0.182871
Moved 1107.909 267.5936 357.7433 -0.2139037 -0.03142357
Moved 1107.957 256.1012 308.7083 -0.2405066 -0.1816536
Moved 1108.006 256 289.3386 -0.2407407 -0.240997
Moved 1108.053 265.9436 274.1129 -0.2177232 -0.2876444
Moved 1108.103 278.3735 264.0843 -0.1889502 -0.3183692
Moved 1108.177 301.5 255.5 -0.1354167 -0.3446691
Moved 1108.223 331.7338 271.587 -0.06543105 -0.2953829
Moved 1108.271 365.2764 303.1558 0.01221379 -0.198665
Moved 1108.318 382.6284 320.6284 0.05238056 -0.1451334
Moved 1108.366 391.1828 329.1828 0.07218251 -0.1189252
Moved 1108.414 396.1139 335 0.08359701 -0.1011029
Moved 1108.46 400.4573 339.4573 0.09365112 -0.08744708
Moved 1108.509 404.8805 344.8805 0.10389 -0.07083183
Moved 1108.557 407 348.1384 0.1087963 -0.06085041
Moved 1108.603 408 349 0.1111111 -0.05821069
Moved 1108.677 409 350 0.113426 -0.05514706
Moved 1108.724 409 351 0.113426 -0.05208343
Moved 1108.771 409 352 0.113426 -0.04901961
Moved 1108.818 410 352 0.1157407 -0.04901961
Stationary 1108.865 410 352 0.1157407 -0.04901961
Moved 1108.912 410 353 0.1157407 -0.04595589
Stationary 1108.959 410 353 0.1157407 -0.04595589
Ended 1109.005 410 353 0.1157407 -0.04595589
Began 1109.175 290 362 -0.162037 -0.01838226
Stationary 1109.241 290 362 -0.162037 -0.01838226
Stationary 1109.29 290 362 -0.162037 -0.01838226
Stationary 1109.354 290 362 -0.162037 -0.01838226
Stationary 1109.404 290 362 -0.162037 -0.01838226
