my watch fell in the water
Basic
0.4 0.4
288 217.6
Began 337.701 438 258 0.2708334 -0.5055147
Stationary 337.7784 438 258 0.2708334 -0.5055147
Stationary 337.8077 438 258 0.2708334 -0.5055147
Moved 337.833 434.1219 269.2161 0.2573675 -0.4539702
Moved 337.8587 426.133 281.1676 0.2296284 -0.399046
Moved 337.8842 418.2058 294.3236 0.2021036 -0.3385862
Moved 337.9097 413.9019 299.4968 0.1871595 -0.3148127
Moved 337.9355 405.2761 310.7239 0.1572087 -0.2632175
Moved 337.9638 396.7806 324.5486 0.1277104 -0.1996848
Moved 337.9903 390.0291 334.9612 0.1042676 -0.1518325
Moved 338.0191 384.2808 343.5787 0.08430839 -0.1122301
Moved 338.0544 379.2106 351.1841 0.06670341 -0.07727862
Moved 338.0822 375.7511 358.7468 0.05469114 -0.04252364
Moved 338.1099 373.3099 362.0702 0.04621506 -0.02725082
Moved 338.1439 367.4721 376.0558 0.02594471 0.03702136
Moved 338.1701 364.7578 380.3633 0.01652003 0.05681698
Moved 338.1975 357.9883 395.0294 -0.006985144 0.124216
Moved 338.2251 352.2547 407.4907 -0.02689354 0.1814828
Moved 338.2529 348 416.5 -0.04166671 0.2228861
Moved 338.2793 346.1594 420.5219 -0.04805766 0.2413688
Moved 338.3139 341.8492 429.1508 -0.06302365 0.281024
Moved 338.3577 339.5437 433.4563 -0.07102892 0.3008103
Moved 338.3849 340 434.527 -0.06944448 0.3057307
Moved 338.4117 340 437.3975 -0.06944448 0.3189226
Moved 338.4402 339 438.5 -0.07291667 0.323989
Moved 338.467 339 440.0696 -0.07291667 0.3312021
Stationary 338.4928 339 440.0696 -0.07291667 0.3312021
Moved 338.5185 337.5 441 -0.078125 0.3354779
Stationary 338.5443 337.5 441 -0.078125 0.3354779
Moved 338.569 338 442.1866 -0.07638887 0.340931
Ended 338.5952 338 442.1866 -0.07638887 0.340931
Began 338.9479 254 468 -0.3680556 0.4595589
Stationary 338.9843 254 468 -0.3680556 0.4595589
Stationary 339.0118 254 468 -0.3680556 0.4595589
Stationary 339.0393 254 468 -0.3680556 0.4595589
Stationary 339.0662 254 468 -0.3680556 0.4595589
Stationary 339.0925 254 468 -0.3680556 0.4595589
Moved 339.1198 248.3235 452.7563 -0.3877655 0.389505
Moved 339.1528 238.2594 437.2039 -0.4227105 0.3180327
