the facts get in the way
Basic
0.4 0.4
288 115.2
Began 1149.519 318 355 -0.1458333 0.9982642
Stationary 1149.589 318 355 -0.1458333 0.9982642
Stationary 1149.644 318 355 -0.1458333 0.9982642
Stationary 1149.699 318 355 -0.1458333 0.9982642
Stationary 1149.755 318 355 -0.1458333 0.9982642
Stationary 1149.81 318 355 -0.1458333 0.9982642
Moved 1149.866 318 343.252 -0.1458333 0.8962844
Moved 1149.924 328.4748 335.5253 -0.1094627 0.8292124
Moved 1149.989 332 327.2374 -0.09722225 0.7572696
Moved 1150.045 334 321.8209 -0.09027779 0.7102506
Moved 1150.103 335 317.5 -0.08680553 0.6727434
Moved 1150.16 336.0995 315.9005 -0.0829877 0.6588581
Moved 1150.215 336 314.774 -0.08333334 0.6490798
Moved 1150.271 339.4736 311.5264 -0.07127218 0.6208892
Moved 1150.326 345.8583 305.1417 -0.04910313 0.5654664
Moved 1150.406 355.6663 294.3337 -0.01504749 0.4716466
Moved 1150.462 360.9796 289.0204 0.00340119 0.425525
Moved 1150.517 367.289 281.4221 0.02530888 0.3595665
Moved 1150.572 376.0349 273.6434 0.05567685 0.2920434
Moved 1150.628 387.0792 263.9208 0.09402484 0.2076462
Moved 1150.684 399.5295 251.4705 0.1372553 0.09956996
Moved 1150.74 404.7598 245.4803 0.1554161 0.04757246
Moved 1150.808 411 238.1443 0.1770833 -0.01610836
Moved 1150.865 413 235.1821 0.1840278 -0.0418218
Moved 1150.925 414 233.8762 0.1875 -0.05315755
Moved 1151.013 396.066 239.5077 0.1252291 -0.004273521
Moved 1151.069 374.3696 247.1576 0.04989446 0.06213189
Moved 1151.125 353.9888 252.5028 -0.02087221 0.1085316
Moved 1151.183 336.1723 258.9138 -0.08273497 0.1641825
Moved 1151.241 323.7502 262.6249 -0.1258673 0.1963965
Moved 1151.301 314.948 267.052 -0.1564305 0.2348264
Moved 1151.361 305.2123 271 -0.190235 0.2690972
Moved 1151.421 296.8134 275.1866 -0.2193981 0.3054399
Moved 1151.479 288.0216 278.4892 -0.2499249 0.3341076
Moved 1151.538 283.1359 280 -0.2668894 0.3472225
Ended 1151.633 282 281 -0.2708333 0.3559028
Backspace 1152.539
Began 1152.964 357 327 -0.01041666 0.7552084
Stationary 1153.031 357 327 -0.01041666 0.7552084
