the five boxing wizards jump quickly
Basic
0.4 0.4
288 115.2
Began 437.1405 359 304 -0.003472194 0.5555559
Stationary 437.22 359 304 -0.003472194 0.5555559
Stationary 437.2519 359 304 -0.003472194 0.5555559
Stationary 437.2825 359 304 -0.003472194 0.5555559
Stationary 437.3122 359 304 -0.003472194 0.5555559
Stationary 437.3408 359 304 -0.003472194 0.5555559
Stationary 437.3688 359 304 -0.003472194 0.5555559
Moved 437.3985 359 293.5 -0.003472194 0.4644098
Moved 437.4296 359 292 -0.003472194 0.4513892
Moved 437.4663 359 289.5467 -0.003472194 0.4300931
Moved 437.4979 359 288.0405 -0.003472194 0.4170188
Moved 437.5284 359 286.6099 -0.003472194 0.4045998
Moved 437.5593 359 284.6492 -0.003472194 0.3875796
Moved 437.59 359 282.7982 -0.003472194 0.3715118
Moved 437.6205 359 279.8666 -0.003472194 0.3460638
Moved 437.6507 359 273.9849 -0.003472194 0.2950075
Moved 437.6804 359 267.3526 -0.003472194 0.2374358
Moved 437.7098 369.8111 262.1888 0.03406644 0.1926115
Moved 437.7401 377.5559 252.4441 0.06095812 0.1080216
Moved 437.791 384.58 244.84 0.0853473 0.04201386
Moved 437.8247 388.155 241.845 0.09776056 0.01601537
Moved 437.8587 392.4716 237.5284 0.1127486 -0.02145423
Moved 437.8912 395.3326 236 0.1226828 -0.03472222
Moved 437.9265 395 234.5 0.1215278 -0.0477428
Moved 437.9594 395 235 0.1215278 -0.04340278
Moved 437.9906 386.7603 235 0.09291769 -0.04340278
Moved 438.0222 378.5193 235 0.06430299 -0.04340278
Moved 438.0544 365.9894 247.0043 0.02079651 0.06080098
Moved 438.0883 343.4669 256.6132 -0.05740665 0.1442123
Moved 438.1415 324.8738 265.6757 -0.1219659 0.2228798
Moved 438.1747 311.1657 271.5005 -0.1695635 0.2734423
Moved 438.2127 295.1039 279.9481 -0.2253337 0.3467714
Moved 438.2428 290.0072 281 -0.2430304 0.3559028
Moved 438.2776 286.1316 283 -0.2564877 0.3732639
Moved 438.3093 282.2589 284.7411 -0.2699345 0.3883778
Moved 438.3407 280.3869 285 -0.2764345 0.390625
Moved 438.3717 279 286 -0.2812501 0.3993056
Moved 438.4034 276.9443 286 -0.2883879 0.3993056
Stationary 438.4344 276.9443 286 -0.2883879 0.3993056
