he is just like everyone else
Basic
0.4 0.4
288 115.2
Began 943.9401 419 282 0.2048612 0.3645834
Stationary 943.9899 419 282 0.2048612 0.3645834
Stationary 944.0273 419 282 0.2048612 0.3645834
Stationary 944.0643 419 282 0.2048612 0.3645834
Stationary 944.101 419 282 0.2048612 0.3645834
Stationary 944.1384 419 282 0.2048612 0.3645834
Stationary 944.175 419 282 0.2048612 0.3645834
Stationary 944.2134 419 282 0.2048612 0.3645834
Moved 944.2503 407.9366 272.9366 0.1664467 0.2859084
Moved 944.2888 404.8612 271.4306 0.1557682 0.2728351
Moved 944.3334 399.1269 267.1269 0.1358573 0.2354765
Moved 944.3735 392.8252 261.8252 0.1139764 0.1894548
Moved 944.4142 387.8501 255.7002 0.09670183 0.1362864
Moved 944.4537 385.9843 252.9844 0.09022341 0.1127116
Moved 944.4966 384.0259 250 0.08342326 0.08680556
Moved 944.5355 383.1692 247.1692 0.08044855 0.06223282
Moved 944.5763 382 244.8647 0.07638887 0.0422287
Moved 944.6141 382 243.6271 0.07638887 0.0314853
Moved 944.6526 381 244 0.0729166 0.03472222
Stationary 944.6924 381 244 0.0729166 0.03472222
Moved 944.753 373.6177 254.6912 0.04728377 0.1275275
Moved 944.7922 367.2842 257.5719 0.02529249 0.1525341
Moved 944.8289 356.91 261.3633 -0.01072914 0.1854457
Moved 944.8661 347.8666 262 -0.04212991 0.1909725
Moved 944.9037 339.2808 264.2397 -0.07194177 0.2104145
Moved 944.9419 328.5172 264 -0.1093152 0.2083336
Moved 944.9792 321.838 264 -0.1325071 0.2083336
Moved 945.0167 313.6162 264 -0.1610548 0.2083336
Moved 945.0536 310.0783 264 -0.1733391 0.2083336
Moved 945.0909 305.7972 264 -0.1882041 0.2083336
Moved 945.1497 305 267.5048 -0.1909722 0.2387569
Ended 945.1871 305 278 -0.1909722 0.3298611
Began 945.5709 488 338 0.4444444 0.8506945
Stationary 945.6218 488 338 0.4444444 0.8506945
Stationary 945.6595 488 338 0.4444444 0.8506945
Stationary 945.6959 488 338 0.4444444 0.8506945
Moved 945.7338 472.8723 329.6595 0.3919179 0.7782947
Moved 945.7745 454.6201 320.3101 0.328542 0.697136
Moved 945.8132 436.8734 308.155 0.2669214 0.5916235
Moved 945.8525 427.5473 301.6982 0.2345392 0.5355748
