watch out for low flying objects
Basic
0.4 0.4
288 217.6
Began 1528.571 252 473 -0.375 0.4825368
Stationary 1528.643 252 473 -0.375 0.4825368
Stationary 1528.702 252 473 -0.375 0.4825368
Stationary 1528.759 252 473 -0.375 0.4825368
Moved 1528.819 240.8961 456.5281 -0.4135552 0.4068389
Moved 1528.869 233.3257 440.3029 -0.4398413 0.3322741
Moved 1528.922 227.9149 414.5744 -0.4586288 0.2140368
Moved 1528.975 228 394.0315 -0.4583334 0.11963
Moved 1529.023 237.2522 361.2346 -0.4262077 -0.03109119
Moved 1529.072 239 341.0399 -0.4201389 -0.1238973
Moved 1529.123 240 336.0111 -0.4166666 -0.1470076
Moved 1529.176 243.2892 331.7108 -0.4052459 -0.1667702
Moved 1529.236 267.5879 328 -0.3208753 -0.1838235
Moved 1529.298 297.7018 353.2763 -0.2163134 -0.06766404
Moved 1529.36 313.3452 368.3452 -0.1619959 0.001586465
Moved 1529.439 325.9122 383.9122 -0.1183603 0.07312607
Moved 1529.561 337.1057 407.1057 -0.07949419 0.1797135
Moved 1529.617 342.471 414.471 -0.06086469 0.2135617
Moved 1529.666 345 418.7771 -0.05208336 0.2333506
Moved 1529.715 347.7726 422.7726 -0.04245632 0.2517123
Moved 1529.769 350 427.5 -0.03472224 0.2734375
Moved 1529.825 351.92 430.92 -0.02805539 0.2891546
Moved 1529.878 352 434.5 -0.02777778 0.3056067
Moved 1529.934 353 437 -0.02430558 0.3170957
Stationary 1529.986 353 437 -0.02430558 0.3170957
Moved 1530.04 355.1662 437 -0.01678392 0.3170957
Moved 1530.187 356 409.4833 -0.01388892 0.1906404
Moved 1530.244 356 394.038 -0.01388892 0.1196598
Moved 1530.299 351.7274 381.1689 -0.02872415 0.06051878
Moved 1530.346 347 359.9109 -0.0451389 -0.03717381
Moved 1530.393 345 345.0539 -0.05208336 -0.1054509
Moved 1530.442 342.5 334 -0.06076388 -0.1562499
Moved 1530.494 340.5 318.5 -0.06770834 -0.2274816
Moved 1530.542 341 307.4532 -0.06597222 -0.2782483
Moved 1530.59 341 297.4813 -0.06597222 -0.324075
Moved 1530.638 341 289.5 -0.06597222 -0.3607537
Moved 1530.717 339 283.702 -0.07291667 -0.387399
Moved 1530.777 336.5 282 -0.08159719 -0.3952206
Moved 1530.831 333.9872 281 -0.09032221 -0.3998162
