watch out for low flying objects
Basic
0.6 0.6
432 172.8
Began 1741.965 274 315 -0.199074 0.4340278
Stationary 1742.055 274 315 -0.199074 0.4340278
Moved 1742.127 290.7044 306.3564 -0.1604065 0.3840072
Moved 1742.193 307.187 300.9065 -0.1222522 0.3524681
Moved 1742.264 315.8292 298 -0.1022472 0.3356482
Moved 1742.339 322.6633 295 -0.08642752 0.318287
Moved 1742.41 328.3378 293 -0.07329215 0.306713
Moved 1742.479 333.1967 292 -0.06204471 0.3009261
Moved 1742.548 338.0367 291 -0.05084092 0.2951389
Moved 1742.62 348.3171 291 -0.02704367 0.2951389
Moved 1742.688 366.171 291 0.01428475 0.2951389
Moved 1742.756 378.0345 291 0.0417464 0.2951389
Moved 1742.822 394.3553 291 0.07952621 0.2951389
Moved 1742.888 402.5775 290 0.09855906 0.2893519
Moved 1742.959 407.3106 290 0.1095154 0.2893519
Moved 1743.028 410.2487 290 0.1163165 0.2893519
Moved 1743.1 412 288.5 0.1203704 0.2806711
Moved 1743.202 414.1954 289 0.1254523 0.283565
Stationary 1743.271 414 289 0.125 0.283565
Moved 1743.338 415 287.5 0.1273148 0.2748843
Moved 1743.404 415 288 0.1273148 0.2777778
Moved 1743.471 416.0591 288 0.1297665 0.2777778
Stationary 1743.538 416 288 0.1296297 0.2777778
Stationary 1743.605 416 288 0.1296297 0.2777778
Stationary 1743.671 416 288 0.1296297 0.2777778
Stationary 1743.738 416 288 0.1296297 0.2777778
Moved 1743.805 417.0894 286.9106 0.1321512 0.2714736
Ended 1743.91 417.0894 286.9106 0.1321512 0.2714736
Backspace 1744.89
Began 1748.83 272 277 -0.2037037 0.2141204
Stationary 1748.897 272 277 -0.2037037 0.2141204
Stationary 1748.975 272 277 -0.2037037 0.2141204
Stationary 1749.042 272 277 -0.2037037 0.2141204
Stationary 1749.11 272 277 -0.2037037 0.2141204
Stationary 1749.179 272 277 -0.2037037 0.2141204
Stationary 1749.248 272 277 -0.2037037 0.2141204
Stationary 1749.32 272 277 -0.2037037 0.2141204
Stationary 1749.386 272 277 -0.2037037 0.2141204
Stationary 1749.452 272 277 -0.2037037 0.2141204
Stationary 1749.517 272 277 -0.2037037 0.2141204
Stationary 1749.585 272 277 -0.2037037 0.2141204
Stationary 1749.649 272 277 -0.2037037 0.2141204
Stationary 1749.713 272 277 -0.2037037 0.2141204
Stationary 1749.779 272 277 -0.2037037 0.2141204
Moved 1749.846 255.123 267.7487 -0.242771 0.1605825
Moved 1749.916 235.1796 257.2719 -0.288936 0.09995285
Moved 1750.018 208.9755 243.9756 -0.3495937 0.02300686
Moved 1750.089 199.5266 239.5266 -0.3714662 -0.002739518
Moved 1750.16 191.5 236 -0.3900463 -0.02314815
Moved 1750.233 186.7701 234 -0.4009953 -0.03472205
Moved 1750.301 185.8417 233 -0.4031442 -0.04050926
Moved 1750.373 185 232 -0.4050926 -0.0462963
Stationary 1750.443 185 232 -0.4050926 -0.0462963
Stationary 1750.52 185 232 -0.4050926 -0.0462963
Moved 1750.594 245.6749 264.798 -0.2646416 0.1435073
Moved 1750.665 307.3711 285.457 -0.1218262 0.2630617
Moved 1750.777 345.8417 296.9209 -0.03277376 0.3294034
Moved 1750.852 361.4404 303.7202 0.003334184 0.3687511
Moved 1750.924 375.7934 309 0.03655881 0.3993057
Moved 1750.996 380 311.2986 0.04629632 0.4126079
Moved 1751.066 384.1166 312 0.05582541 0.4166669
Moved 1751.135 385 312 0.05787035 0.4166669
Moved 1751.203 386 313 0.06018519 0.4224537
Moved 1751.269 387.3729 313 0.06336321 0.4224537
Stationary 1751.334 387.3729 313 0.06336321 0.4224537
Stationary 1751.401 387 313 0.06250004 0.4224537
Moved 1751.501 356.9284 273.9141 -0.007110089 0.1962621
Moved 1751.566 334.9961 245.3281 -0.05787939 0.03083424
Moved 1751.631 320.0862 228.0862 -0.09239312 -0.06894571
Moved 1751.695 312.8029 218.6057 -0.1092526 -0.1238094
Moved 1751.768 306.9395 210.8789 -0.1228254 -0.1685249
Moved 1751.842 301.6597 205.6597 -0.1350471 -0.1987286
Moved 1751.917 296 195.7592 -0.1481481 -0.2560234
Moved 1751.998 290 186.1445 -0.162037 -0.3116636
Moved 1752.089 289 184 -0.1643519 -0.3240739
Moved 1752.168 303.8125 190.5625 -0.1300636 -0.2860965
Moved 1752.279 345.6838 211.3419 -0.03313939 -0.1658452
Moved 1752.352 369.4921 222.6614 0.02197236 -0.1003394
Moved 1752.424 384.4545 232.2273 0.05660773 -0.04498093
Moved 1752.495 398.0368 239.0184 0.08804817 -0.00568019
Moved 1752.561 406.5121 243.756 0.1076668 0.02173618
Moved 1752.628 411.1699 245 0.1184489 0.02893519
Ended 1752.696 413 246 0.1226852 0.03472222
Began 1753.046 513 279 0.3541666 0.2256946
Stationary 1753.121 513 279 0.3541666 0.2256946
Moved 1753.188 491.5818 279 0.3045875 0.2256946
Moved 1753.257 468.2294 279 0.2505311 0.2256946
Moved 1753.326 445.764 279 0.1985278 0.2256946
Moved 1753.394 429.6575 279 0.1612442 0.2256946
Moved 1753.473 414.622 289.378 0.1264398 0.2857523
Moved 1753.547 408.2138 291 0.1116059 0.2951389
Moved 1753.624 403.7471 293.2529 0.1012664 0.3081763
Moved 1753.691 401.7513 294.2487 0.09664644 0.3139394
Moved 1753.758 399.8118 295 0.09215693 0.318287
Moved 1753.825 399.3088 295 0.09099265 0.318287
Moved 1753.895 398.2516 296 0.08854538 0.3240741
Moved 1753.961 397.5 296 0.08680551 0.3240741
Moved 1754.055 396.9552 296 0.08554448 0.3240741
Moved 1754.122 382.3137 296 0.05165209 0.3240741
Moved 1754.194 364.1819 286 0.009680389 0.2662037
Moved 1754.269 349.1568 283.1568 -0.02510001 0.2497502
Moved 1754.337 342.6271 283 -0.04021505 0.2488426
Moved 1754.407 341 283 -0.04398147 0.2488426
Moved 1754.481 339 283 -0.04861111 0.2488426
Ended 1754.551 338 283 -0.05092591 0.2488426
Began 1755.108 327 196 -0.07638887 -0.2546296
Stationary 1755.183 327 196 -0.07638887 -0.2546296
