the facts get in the way
Basic
0.6 0.6
432 172.8
Began 1689.171 325 310 -0.08101851 0.4050926
Stationary 1689.251 325 310 -0.08101851 0.4050926
Moved 1689.319 349.0409 276.9592 -0.02536838 0.2138841
Moved 1689.386 363.9859 255.5211 0.009226699 0.08982147
Moved 1689.456 368.8629 247.1371 0.02051612 0.04130258
Moved 1689.524 371 241.7935 0.025463 0.0103788
Moved 1689.59 372 238.5 0.02777775 -0.008680733
Moved 1689.655 366.225 237 0.01440962 -0.01736093
Moved 1689.722 324.626 242.374 -0.08188426 0.01373874
Moved 1689.788 295.2683 251.433 -0.1498419 0.06616327
Moved 1689.854 275.6789 258.6606 -0.1951878 0.1079897
Moved 1689.921 254.9945 267.0018 -0.2430682 0.1562608
Moved 1689.986 248.6284 271.3716 -0.2578046 0.1815485
Moved 1690.05 244.9481 274.0519 -0.2663239 0.1970599
Moved 1690.114 243.7756 275.2244 -0.2690381 0.2038451
Moved 1690.176 243 276.3816 -0.2708333 0.2105418
Moved 1690.239 241.5 277 -0.2743055 0.2141204
Ended 1690.338 242 278 -0.2731481 0.2199074
Began 1690.77 364 183 0.009259283 -0.3298611
Stationary 1690.85 364 183 0.009259283 -0.3298611
Moved 1690.928 333.5793 189.8416 -0.06115913 -0.2902688
Moved 1691.007 310.0398 196.6534 -0.1156486 -0.250848
Moved 1691.083 287.5316 201.8228 -0.1677509 -0.2209331
Moved 1691.155 263.3698 206 -0.2236812 -0.1967593
Moved 1691.229 230.645 210.4709 -0.2994329 -0.1708855
Moved 1691.315 201.0899 213 -0.3678475 -0.15625
Moved 1691.39 186.5056 215 -0.4016075 -0.1446759
Moved 1691.463 183 218.5 -0.4097222 -0.1244213
Moved 1691.538 182 219 -0.412037 -0.1215278
Moved 1691.609 219.1144 210.2952 -0.326124 -0.1719028
Moved 1691.681 253.7565 194.6217 -0.245934 -0.2626059
Moved 1691.751 276.716 183.142 -0.1927871 -0.3290394
Moved 1691.823 284.2348 178.7653 -0.1753824 -0.3543676
Moved 1691.891 290.1028 176.8972 -0.1617992 -0.3651782
Moved 1691.993 295.5 177 -0.1493056 -0.3645834
Moved 1692.071 306.9239 219.7335 -0.1228614 -0.1172829
Moved 1692.138 314.3258 245.3032 -0.1057273 0.03069012
Moved 1692.205 324.1078 270.2156 -0.08308376 0.174859
Moved 1692.275 333 288.904 -0.06249999 0.2830094
Moved 1692.342 336.2821 294.2821 -0.05490253 0.3141326
Moved 1692.416 337 297.0055 -0.05324075 0.3298929
Stationary 1692.482 337 297 -0.05324075 0.3298613
Moved 1692.55 311.3151 285.8682 -0.1126966 0.2654408
Moved 1692.62 264.3021 267.1007 -0.2215229 0.156833
Moved 1692.728 219.6501 252.8834 -0.3248839 0.07455685
Moved 1692.804 207.0426 248.0426 -0.354068 0.04654284
Moved 1692.884 201.5 246 -0.3668981 0.03472222
Moved 1692.965 199 245 -0.3726852 0.02893519
Ended 1693.031 199 245 -0.3726852 0.02893519
Began 1693.384 337 222 -0.05324075 -0.1041665
Stationary 1693.457 337 222 -0.05324075 -0.1041665
Stationary 1693.53 337 222 -0.05324075 -0.1041665
Moved 1693.598 304.4291 242.7139 -0.1286363 0.01570525
Moved 1693.666 287.5732 255.4268 -0.1676546 0.08927522
Moved 1693.737 274.9358 266.0642 -0.1969079 0.1508345
Moved 1693.804 268.2673 271.7327 -0.2123442 0.1836381
Moved 1693.871 261.5897 278.4103 -0.2278017 0.2222817
Moved 1693.942 256.9363 282 -0.2385733 0.2430556
Moved 1694.019 252.5 286.5 -0.2488426 0.2690974
Moved 1694.085 253 289.5 -0.2476852 0.2864584
Moved 1694.151 260.2666 293 -0.2308644 0.306713
Moved 1694.215 273.5204 295.1735 -0.2001841 0.3192909
Moved 1694.28 286.962 296 -0.1690694 0.3240741
Moved 1694.346 302.4097 297.7048 -0.133311 0.33394
Moved 1694.413 309.0802 298 -0.1178699 0.3356482
Ended 1694.515 314.2929 299 -0.1058034 0.3414354
Began 1694.746 466 298 0.2453704 0.3356482
Stationary 1694.812 466 298 0.2453704 0.3356482
Stationary 1694.878 466 298 0.2453704 0.3356482
Moved 1694.954 453.6829 286.6829 0.2168586 0.2701555
Moved 1695.024 439.7761 276.7761 0.1846669 0.2128248
Moved 1695.092 426.4482 267.4481 0.1538152 0.1588435
Moved 1695.16 399.2619 243.5774 0.09088407 0.0207025
Moved 1695.226 380.8016 224.8016 0.04815191 -0.0879535
Moved 1695.292 366.4078 208.4078 0.01483291 -0.182825
Moved 1695.36 359.3445 200.3445 -0.001517336 -0.229488
Moved 1695.442 357 195.5128 -0.006944438 -0.257449
Moved 1695.511 354.7811 195 -0.01208077 -0.2604167
Moved 1695.576 354 193 -0.01388888 -0.2719907
Moved 1695.64 353 192 -0.01620372 -0.2777776
Stationary 1695.706 353 192 -0.01620372 -0.2777776
Moved 1695.77 353 190.9014 -0.01620372 -0.2841355
Ended 1695.835 353 191 -0.01620372 -0.2835648
Began 1696.121 238 316 -0.2824074 0.4398148
Stationary 1696.187 238 316 -0.2824074 0.4398148
Moved 1696.254 261.2608 295.7392 -0.228563 0.322565
Moved 1696.324 287.3559 278.322 -0.1681576 0.2217712
Moved 1696.393 313.0289 264.3237 -0.1087294 0.140762
Moved 1696.463 332.198 252.8812 -0.06435643 0.07454431
Moved 1696.532 355.4141 237.793 -0.01061544 -0.01277217
Moved 1696.599 364.6213 233 0.01069744 -0.04050926
Moved 1696.667 370.1798 229.8202 0.0235644 -0.05891094
Moved 1696.733 372.2934 229 0.02845685 -0.06365723
Moved 1696.808 373 228 0.0300926 -0.06944445
Moved 1696.873 355.7459 228 -0.009847433 -0.06944445
Moved 1696.937 329.1095 243.2969 -0.0715058 0.01907932
Moved 1697.003 304 251.5 -0.1296296 0.0665511
Moved 1697.066 269.6177 262.6765 -0.2092182 0.1312297
Moved 1697.13 251.7419 268.086 -0.2505973 0.1625347
Moved 1697.192 239.1792 272.8209 -0.2796779 0.1899356
Moved 1697.255 231.8008 276.1992 -0.2967575 0.2094864
Moved 1697.327 227.0709 277.9291 -0.3077063 0.2194975
