he is just like everyone else
Basic
0.4 0.4
288 115.2
Began 612.9289 373 269 0.0451389 0.2517361
Stationary 612.9772 373 269 0.0451389 0.2517361
Stationary 613.019 373 269 0.0451389 0.2517361
Stationary 613.0615 373 269 0.0451389 0.2517361
Stationary 613.1055 373 269 0.0451389 0.2517361
Stationary 613.1446 373 269 0.0451389 0.2517361
Stationary 613.1832 373 269 0.0451389 0.2517361
Stationary 613.2219 373 269 0.0451389 0.2517361
Stationary 613.2609 373 269 0.0451389 0.2517361
Stationary 613.3004 373 269 0.0451389 0.2517361
Stationary 613.3387 373 269 0.0451389 0.2517361
Moved 613.3875 359.5326 269 -0.00162296 0.2517361
Moved 613.4399 344.8015 269 -0.05277276 0.2517361
Moved 613.4821 326.5659 285.0756 -0.1160906 0.3912812
Moved 613.5246 311.9811 292.6793 -0.1667324 0.4572853
Moved 613.5655 304.6009 296.1995 -0.192358 0.4878434
Moved 613.605 296.7751 299.1124 -0.219531 0.513129
Moved 613.6467 292.7691 300 -0.2334407 0.5208334
Moved 613.6901 290 301 -0.2430555 0.5295137
Moved 613.7316 289 302.3202 -0.2465278 0.5409739
Moved 613.7739 288 302 -0.25 0.5381945
Moved 613.8379 287 302 -0.2534723 0.5381945
Stationary 613.8785 287 302 -0.2534723 0.5381945
Stationary 613.9167 287 302 -0.2534723 0.5381945
Stationary 613.9549 287 302 -0.2534723 0.5381945
Moved 613.9933 287 303 -0.2534723 0.5468751
Ended 614.0322 287 303 -0.2534723 0.5468751
Began 614.2482 452 306 0.3194444 0.5729167
Stationary 614.3061 452 306 0.3194444 0.5729167
Stationary 614.3474 452 306 0.3194444 0.5729167
Stationary 614.3928 452 306 0.3194444 0.5729167
Stationary 614.4385 452 306 0.3194444 0.5729167
Stationary 614.4763 452 306 0.3194444 0.5729167
Stationary 614.5165 452 306 0.3194444 0.5729167
Moved 614.5568 439.1354 296.5677 0.2747758 0.491039
Moved 614.5992 418.9088 291.1168 0.2045442 0.4437219
Moved 614.6404 396.2386 286.3864 0.1258284 0.4026593
Moved 614.6815 364.5 280 0.01562506 0.3472225
Moved 614.7333 336.0854 274.4171 -0.08303687 0.2987592
Moved 614.7752 313.5661 269.1132 -0.1612287 0.2527192
Moved 614.8219 298.5246 265.1749 -0.2134562 0.2185318
