the five boxing wizards jump quickly
Basic
0.6 0.6
432 172.8
Began 284.9372 337 327 -0.05324075 0.5034722
Stationary 284.9698 337 327 -0.05324075 0.5034722
Stationary 284.9948 337 327 -0.05324075 0.5034722
Stationary 285.0189 337 327 -0.05324075 0.5034722
Stationary 285.0424 337 327 -0.05324075 0.5034722
Stationary 285.0664 337 327 -0.05324075 0.5034722
Stationary 285.09 337 327 -0.05324075 0.5034722
Stationary 285.1154 337 327 -0.05324075 0.5034722
Stationary 285.1408 337 327 -0.05324075 0.5034722
Stationary 285.1649 337 327 -0.05324075 0.5034722
Stationary 285.1896 337 327 -0.05324075 0.5034722
Stationary 285.2156 337 327 -0.05324075 0.5034722
Stationary 285.2415 337 327 -0.05324075 0.5034722
Stationary 285.2684 337 327 -0.05324075 0.5034722
Stationary 285.2946 337 327 -0.05324075 0.5034722
Moved 285.3188 337 309.7121 -0.05324075 0.4034267
Moved 285.3448 346.5941 305.4022 -0.03103227 0.3784851
Moved 285.3716 356.8555 294.1445 -0.00727892 0.3133361
Moved 285.417 373.2248 280.5814 0.03061295 0.2348462
Moved 285.4448 382.1825 271.2263 0.05134831 0.1807079
Moved 285.4735 387.7179 265.2822 0.06416172 0.146309
Moved 285.4987 388.735 262.53 0.0665162 0.1303819
Moved 285.5297 390.1313 258.7374 0.06974846 0.108434
Moved 285.5589 390 255.0681 0.06944448 0.08719992
Moved 285.5928 378.6523 251 0.04317661 0.06365723
Moved 285.6176 371.6369 251 0.02693723 0.06365723
Moved 285.6433 350.2617 251 -0.02254233 0.06365723
Moved 285.6706 324.6382 265.5447 -0.08185605 0.1478284
Moved 285.7125 301.8111 275.1959 -0.1346966 0.2036796
Moved 285.739 280.8723 285.4833 -0.1831659 0.2632136
Moved 285.7676 264.0406 292.1837 -0.2221281 0.3019891
Moved 285.7945 252.9762 296.3413 -0.2477404 0.3260494
Moved 285.8201 247.8424 298.7192 -0.2596241 0.3398101
Moved 285.8453 242.5193 301.4807 -0.271946 0.3557906
Moved 285.8734 238.0939 303.9061 -0.2821901 0.3698273
Moved 285.9002 236 305.6741 -0.287037 0.3800583
Moved 285.9248 236 307.0535 -0.287037 0.3880409
Moved 285.9503 236 315 -0.287037 0.4340278
Ended 285.9894 236 315 -0.287037 0.4340278
Began 286.1493 304 226 -0.1296296 -0.0810187
Stationary 286.1725 304 226 -0.1296296 -0.0810187
Stationary 286.1945 304 226 -0.1296296 -0.0810187
Stationary 286.2185 304 226 -0.1296296 -0.0810187
Stationary 286.2425 304 226 -0.1296296 -0.0810187
Moved 286.2684 316.7078 226 -0.1002134 -0.0810187
Moved 286.2968 333.8928 236.2551 -0.06043345 -0.02167172
Moved 286.3241 356.8759 243.6627 -0.007231583 0.02119647
Moved 286.3496 376.31 249.324 0.03775458 0.05395819
Moved 286.3745 382.7288 250.7881 0.05261302 0.06243106
Moved 286.4034 396.3591 254.4718 0.08416454 0.08374903
Moved 286.427 413.7075 260.4879 0.124323 0.1185642
Moved 286.4507 424.7084 263.9028 0.149788 0.1383264
Moved 286.4753 444.7155 273.5518 0.1961008 0.1941653
Moved 286.5011 457.985 282.985 0.2268171 0.2487561
Moved 286.5265 463.6315 287.4736 0.2398876 0.2747317
Moved 286.5515 467.9346 292.8691 0.2498486 0.3059557
Moved 286.5855 469 294 0.2523148 0.3125
Stationary 286.6122 469 294 0.2523148 0.3125
Moved 286.634 463.0294 294 0.238494 0.3125
Moved 286.6768 415.652 252.3199 0.1288241 0.07129599
Moved 286.7021 391.355 230.8105 0.07258097 -0.05317971
Moved 286.7262 383.996 223.9961 0.05554636 -0.0926152
Moved 286.7524 366.6808 208.6808 0.01546482 -0.1812453
Moved 286.7768 358.4156 202.4156 -0.003667474 -0.2175019
Moved 286.8017 346.403 195.2015 -0.03147448 -0.2592504
Moved 286.8262 341.1912 192.0956 -0.04353885 -0.2772247
Moved 286.8511 338.4769 192 -0.04982199 -0.2777776
Moved 286.8756 333.992 192 -0.06020377 -0.2777776
Moved 286.9003 331.2131 192 -0.06663641 -0.2777776
Moved 286.9414 317 224 -0.09953702 -0.09259242
Moved 286.9672 310.0576 242.8656 -0.1156074 0.01658334
Moved 286.9935 303.5009 257.4974 -0.130785 0.101258
Moved 287.0191 298.4806 266.9091 -0.1424061 0.1557237
Moved 287.0443 287.563 285.3245 -0.1676783 0.2622945
Moved 287.0699 284.1864 289.7514 -0.1754944 0.2879132
Moved 287.0969 273.9615 298.359 -0.1991632 0.3377258
Moved 287.1224 267.1306 303.8694 -0.2149755 0.3696145
Moved 287.1481 263.793 307.207 -0.2227013 0.3889292
Moved 287.1749 264 310 -0.2222222 0.4050926
Ended 287.2141 264 316 -0.2222222 0.4398148
Began 287.4788 368 181 0.01851857 -0.3414352
Stationary 287.5084 368 181 0.01851857 -0.3414352
Stationary 287.5322 368 181 0.01851857 -0.3414352
Stationary 287.5551 368 181 0.01851857 -0.3414352
Stationary 287.5797 368 181 0.01851857 -0.3414352
Stationary 287.6105 368 181 0.01851857 -0.3414352
Moved 287.6416 387.8614 191.9169 0.06449401 -0.2782587
Moved 287.6667 396.0847 197.3898 0.08352935 -0.2465872
Moved 287.6926 421.107 212.7379 0.1414513 -0.1577665
Moved 287.719 438.8006 226.0004 0.1824089 -0.0810164
Moved 287.7441 446.8717 231.8973 0.2010919 -0.04689023
Moved 287.7711 463.4275 245.6896 0.2394154 0.03292596
Moved 287.8005 475 255.5 0.2662037 0.08969907
Moved 287.8356 480.8853 262.8853 0.279827 0.1324378
Moved 287.8643 487.4202 271.4202 0.2949542 0.18183
Moved 287.8914 491.946 277.9459 0.3054305 0.2195947
Moved 287.9178 495.2483 284.4965 0.3130746 0.2575032
Moved 287.9475 496.5 285.5 0.3159723 0.2633102
Moved 287.9746 496 288 0.3148148 0.2777778
Moved 288.0003 496 290.5 0.3148148 0.2922454
Moved 288.0278 475.421 290 0.2671783 0.2893519
Moved 288.0531 455.9955 282.4977 0.2222119 0.245936
Moved 288.0803 400.3719 260.67 0.09345362 0.1196183
Moved 288.1239 345 235.5 -0.03472224 -0.02604167
