the facts get in the way
Basic
0.4 0.4
288 217.6
Moved 1720.207 406.5011 406.7505 0.1614621 0.1780817
Moved 1720.267 399.0166 397.0333 0.1354744 0.1334249
Moved 1720.331 394.6423 387.2845 0.1202856 0.08862391
Moved 1720.391 393 378.9152 0.1145834 0.05016159
Moved 1720.451 392 368 0.1111111 0
Moved 1720.509 392 354.1859 0.1111111 -0.06348386
Moved 1720.567 399 342.709 0.1354167 -0.1162271
Moved 1720.624 402 334.6171 0.1458333 -0.153414
Moved 1720.681 406.3152 325.3695 0.1608168 -0.1959122
Moved 1720.739 410 315.5699 0.1736111 -0.2409468
Moved 1720.828 413 303.6748 0.1840278 -0.295612
Moved 1720.886 414 300.8658 0.1875 -0.3085212
Moved 1720.943 414 297.5 0.1875 -0.323989
Ended 1721 414 297 0.1875 -0.3262866
Began 1721.651 321 452 -0.1354167 0.3860295
Stationary 1721.724 321 452 -0.1354167 0.3860295
Stationary 1721.786 321 452 -0.1354167 0.3860295
Stationary 1721.847 321 452 -0.1354167 0.3860295
Moved 1721.91 335.3188 436.6812 -0.08569867 0.3156306
Moved 1721.972 343.8113 426.1887 -0.05621076 0.2674115
Moved 1722.036 351.6657 413.5014 -0.02893843 0.2091057
Moved 1722.098 362 396 0.006944388 0.1286765
Moved 1722.159 371.9492 383.1017 0.0414902 0.06940113
Moved 1722.221 380.2901 372.4197 0.0704518 0.0203113
Moved 1722.292 388.5819 360.4182 0.09924264 -0.03484292
Moved 1722.352 391 356 0.1076388 -0.05514707
Moved 1722.412 391 354.7508 0.1076388 -0.0608879
Stationary 1722.472 391 355 0.1076388 -0.05974251
Moved 1722.532 380.2318 366.073 0.07024914 -0.008855708
Moved 1722.594 366.6022 375.3978 0.02292425 0.03399709
Moved 1722.655 352.5 397 -0.02604165 0.1332722
Moved 1722.716 340.1463 410.8538 -0.06893657 0.1969383
Moved 1722.779 330.7395 421.5211 -0.101599 0.2459608
Moved 1722.843 321.4869 432.5131 -0.1337262 0.2964758
Moved 1722.939 314.2079 441.7921 -0.1590005 0.3391182
Moved 1723.001 308.8382 448.1618 -0.177645 0.3683908
Moved 1723.061 302.1004 454.8996 -0.2010404 0.3993548
Moved 1723.12 298 459.3122 -0.2152778 0.4196334
Moved 1723.18 294.9538 461 -0.225855 0.4273897
Moved 1723.244 295 462 -0.2256945 0.4319854
Ended 1723.302 293.5 462 -0.2309028 0.4319854
