he is just like everyone else
Basic
0.4 0.4
288 217.6
Began 422.126 412 292 0.1805556 -0.3492646
Stationary 422.1639 412 292 0.1805556 -0.3492646
Stationary 422.1938 412 292 0.1805556 -0.3492646
Stationary 422.2241 412 292 0.1805556 -0.3492646
Stationary 422.2597 412 292 0.1805556 -0.3492646
Stationary 422.2901 412 292 0.1805556 -0.3492646
Stationary 422.3268 412 292 0.1805556 -0.3492646
Stationary 422.3564 412 292 0.1805556 -0.3492646
Moved 422.3869 402.2234 292 0.1466089 -0.3492646
Moved 422.4212 399.3533 299.6467 0.1366434 -0.3141235
Moved 422.4537 396.8806 302.1194 0.1280577 -0.3027602
Moved 422.4838 390.9426 310.0861 0.1074395 -0.2661482
Moved 422.5272 379.9772 323.3637 0.06936535 -0.2051299
Moved 422.5619 373.2158 333.7123 0.04588813 -0.1575723
Moved 422.5962 360.3902 351.813 0.001354963 -0.07438856
Moved 422.6295 351.7702 363.3063 -0.02857558 -0.02157001
Moved 422.6627 342.878 374.8293 -0.05945132 0.03138473
Moved 422.6946 334.5544 385.9275 -0.08835287 0.08238751
Moved 422.7268 329.2964 392.7036 -0.1066098 0.1135278
Moved 422.761 324.5582 399.4418 -0.1230617 0.1444934
Moved 422.7932 321.2735 404.7266 -0.1344671 0.1687802
Moved 422.8259 318.4093 409.5907 -0.1444122 0.1911337
Moved 422.878 314.6725 415.3275 -0.1573871 0.2174975
Moved 422.9117 314 416.8699 -0.1597222 0.224586
Moved 422.9452 312.5 418 -0.1649305 0.2297794
Moved 422.9817 311.6271 420.3729 -0.1679614 0.2406841
Moved 423.0142 310.8336 421.1664 -0.1707166 0.2443309
Moved 423.0468 309.5701 422 -0.1751039 0.2481619
Moved 423.0802 308.6282 423.3718 -0.1783744 0.2544661
Moved 423.1176 307 424.8917 -0.1840278 0.2614507
Moved 423.1508 305 427.1671 -0.1909722 0.2719078
Moved 423.1857 302.9635 428 -0.1980435 0.2757353
Moved 423.2432 301.9996 429 -0.2013902 0.280331
Moved 423.277 302 430.3718 -0.2013889 0.2866352
Moved 423.3095 301 431.1733 -0.2048611 0.2903185
Stationary 423.342 301 431.1733 -0.2048611 0.2903185
Moved 423.3737 299.8994 431 -0.2086827 0.289522
Moved 423.4085 300 432 -0.2083334 0.2941177
Stationary 423.4418 300 432 -0.2083334 0.2941177
