the facts get in the way
Basic
0.8 0.8
575.9999 435.2
Moved 822.1927 349.0519 543.9481 -0.01900707 0.4042924
Moved 822.2312 350 542.5953 -0.01736112 0.4011841
Ended 822.2691 351.5 541.5 -0.01475696 0.3986674
Began 822.5544 525 484 0.2864583 0.2665442
Stationary 822.6 525 484 0.2864583 0.2665442
Stationary 822.6403 525 484 0.2864583 0.2665442
Stationary 822.6807 525 484 0.2864583 0.2665442
Stationary 822.7202 525 484 0.2864583 0.2665442
Stationary 822.7603 525 484 0.2864583 0.2665442
Moved 822.7998 513.4324 472.7207 0.2663758 0.2406267
Moved 822.8416 498.484 449.312 0.2404236 0.1868383
Moved 822.8847 485.8527 427.7348 0.2184943 0.1372583
Moved 822.924 464.9375 389.8501 0.1821833 0.05020699
Moved 822.9713 450.0742 354.5312 0.1563788 -0.03094856
Moved 823.014 441.7394 326.176 0.1419088 -0.09610289
Moved 823.0538 437.8594 309.2971 0.1351726 -0.1348872
Moved 823.095 432.5533 284.3198 0.1259606 -0.1922798
Moved 823.1356 431 264.7609 0.1232639 -0.2372222
Moved 823.1753 429.6765 254.7058 0.1209661 -0.2603267
Moved 823.2371 429 245.5557 0.1197917 -0.281352
Moved 823.2765 426.972 237.944 0.1162708 -0.298842
Moved 823.3145 427 233.1041 0.1163194 -0.3099629
Moved 823.3538 426 228.1671 0.1145833 -0.3213072
Moved 823.3937 425 221.865 0.1128472 -0.3357881
Moved 823.4337 425 219.5 0.1128472 -0.3412225
Moved 823.4735 424 217.5 0.1111111 -0.345818
Moved 823.5139 424 215.1443 0.1111111 -0.351231
Moved 823.5548 423.1435 213 0.109624 -0.3561581
Ended 823.595 423 212 0.109375 -0.3584559
Began 824.1561 292 485 -0.1180556 0.268842
Stationary 824.1996 292 485 -0.1180556 0.268842
Stationary 824.2381 292 485 -0.1180556 0.268842
Stationary 824.2804 292 485 -0.1180556 0.268842
Stationary 824.3195 292 485 -0.1180556 0.268842
Stationary 824.3652 292 485 -0.1180556 0.268842
Stationary 824.4052 292 485 -0.1180556 0.268842
Moved 824.4446 330.3419 444.8423 -0.05148977 0.1765679
Moved 824.4897 356.9592 414.3878 -0.005279221 0.1065895
Moved 824.5301 369.5297 399.4703 0.01654454 0.07231236
Moved 824.5694 385.8103 382.1897 0.04480958 0.03260501
Moved 824.6102 395.8151 370.1849 0.0621789 0.005020535
Moved 824.6488 402.3366 364.6634 0.0735011 -0.007666771
Moved 824.6889 414.1771 354.9115 0.0940574 -0.03007461
