he is just like everyone else
Basic
0.4 0.4
288 115.2
Began 899.0298 400 245 0.138889 0.04340278
Stationary 899.0756 400 245 0.138889 0.04340278
Stationary 899.1113 400 245 0.138889 0.04340278
Stationary 899.1486 400 245 0.138889 0.04340278
Stationary 899.1841 400 245 0.138889 0.04340278
Stationary 899.2209 400 245 0.138889 0.04340278
Moved 899.2578 385.6923 245 0.08920938 0.04340278
Moved 899.2996 376.1981 255.1383 0.05624354 0.1314092
Moved 899.3376 361.2914 260.5695 0.004484206 0.1785549
Moved 899.376 353.8077 264.0641 -0.02150103 0.2088899
Moved 899.4141 345.2107 269.3947 -0.05135179 0.2551619
Moved 899.4604 340.3082 272.6918 -0.06837435 0.2837828
Moved 899.497 337.7438 274.2562 -0.07727854 0.2973631
Moved 899.5334 334.4454 276 -0.08873113 0.3124998
Moved 899.5693 331.5769 277 -0.09869144 0.3211806
Moved 899.6063 329.0433 278.9567 -0.1074886 0.3381661
Moved 899.6436 322.4848 280 -0.1302611 0.3472225
Moved 899.6801 316.7574 281 -0.150148 0.3559028
Moved 899.7178 306.8279 281 -0.1846254 0.3559028
Moved 899.7556 301.1716 281 -0.2042653 0.3559028
Moved 899.7921 296.4217 282 -0.220758 0.3645834
Moved 899.851 290.8098 283.1902 -0.2402437 0.3749148
Moved 899.8872 286.5044 283 -0.2551932 0.3732639
Moved 899.9223 284.9962 284 -0.2604299 0.3819447
Moved 899.9582 283.564 284 -0.2654029 0.3819447
Moved 899.9929 282.6954 285 -0.2684188 0.390625
Moved 900.0276 281.2009 285.7991 -0.273608 0.3975614
Stationary 900.0626 281 286 -0.2743056 0.3993056
Stationary 900.0965 281 286 -0.2743056 0.3993056
Moved 900.1302 281 287 -0.2743056 0.4079864
Moved 900.1653 305.2215 288 -0.1902033 0.4166667
Moved 900.221 337.6604 289 -0.07756792 0.4253475
Moved 900.2571 356.7173 289 -0.01139812 0.4253475
Moved 900.2925 369.6625 289 0.03355042 0.4253475
Moved 900.3281 380.1351 289 0.06991342 0.4253475
Moved 900.3642 391.395 289 0.1090103 0.4253475
Moved 900.4032 398.2529 289 0.1328226 0.4253475
Moved 900.4379 403.9837 289 0.1527213 0.4253475
Moved 900.4727 409.9564 289 0.1734597 0.4253475
Moved 900.5075 413.8102 289 0.1868411 0.4253475
