watch out for low flying objects
Basic
0.6 0.6
432 172.8
Began 786.5884 260 269 -0.2314815 0.1678241
Stationary 786.6518 260 269 -0.2314815 0.1678241
Stationary 786.7033 260 269 -0.2314815 0.1678241
Stationary 786.7567 260 269 -0.2314815 0.1678241
Stationary 786.8102 260 269 -0.2314815 0.1678241
Moved 786.863 247.6421 253.4631 -0.2600878 0.07791166
Moved 786.9169 236.5391 242.5391 -0.2857892 0.01469365
Moved 786.9706 220.1567 228.1566 -0.3237114 -0.0685381
Moved 787.0287 210.5564 220.5564 -0.3459342 -0.1125209
Moved 787.0836 201.3735 214.3735 -0.367191 -0.1483013
Moved 787.1512 197.006 212 -0.3773009 -0.1620369
Stationary 787.1996 197 212 -0.3773148 -0.1620369
Moved 787.2473 213.4012 230.6295 -0.3393492 -0.05422752
Moved 787.2955 303.9491 280.9754 -0.1297475 0.2371264
Moved 787.3434 354.3884 303.8956 -0.01298984 0.3697666
Moved 787.3991 376.0409 309.6803 0.0371318 0.4032425
Moved 787.4518 382.9843 311 0.0532044 0.4108796
Moved 787.5063 386 311 0.06018519 0.4108796
Moved 787.5943 377.6725 294.0518 0.04090855 0.3128
Moved 787.647 343.0304 239.0532 -0.0392815 -0.005478859
Moved 787.6987 330.1641 216.2734 -0.06906465 -0.1373065
Moved 787.7643 321.3328 195.9984 -0.0895074 -0.2546388
Moved 787.8222 319 186.9225 -0.09490739 -0.3071616
Moved 787.8786 317.1888 182 -0.09910003 -0.335648
Moved 787.9338 317 179.5 -0.09953702 -0.3501157
Moved 787.9945 317 179 -0.09953702 -0.3530089
Moved 788.0502 340.6437 195.7625 -0.0448063 -0.2560043
Moved 788.1079 372.005 215.0024 0.02778928 -0.1446618
Moved 788.1916 396.5063 234.0042 0.08450519 -0.0346982
Moved 788.2466 407.8095 241.9048 0.1106701 0.01102306
Moved 788.2995 415.1712 248.3424 0.1277112 0.04827782
Moved 788.3544 421.6844 252.6844 0.1427879 0.07340538
Moved 788.4073 423.2241 254.224 0.1463519 0.08231499
Moved 788.4838 425 256.2977 0.150463 0.09431539
Ended 788.5373 425 256 0.150463 0.0925926
Began 789.4478 522 296 0.375 0.3240741
Stationary 789.5096 522 296 0.375 0.3240741
Stationary 789.5607 522 296 0.375 0.3240741
Moved 789.6158 510.1969 296 0.347678 0.3240741
Moved 789.6689 497 288 0.3171296 0.2777778
Moved 789.7235 470.9591 284.9918 0.2568498 0.2603695
Moved 789.7791 442.8144 284 0.1916999 0.2546298
Moved 789.8345 410.2432 280 0.1163037 0.2314817
Moved 789.8917 390.7139 278.9285 0.07109702 0.2252805
Moved 789.9492 376.4436 276.6109 0.03806382 0.2118686
Moved 790.0068 357.5027 274.1676 -0.005780756 0.1977292
Moved 790.0631 339.5 273 -0.04745369 0.1909722
Moved 790.1177 331 273 -0.06712963 0.1909722
Moved 790.1729 324.7591 273 -0.08157627 0.1909722
Moved 790.225 322.73 273 -0.08627304 0.1909722
Moved 790.277 321.5 273 -0.08912037 0.1909722
Moved 790.3291 322 273 -0.08796295 0.1909722
Ended 790.4122 321 273 -0.09027779 0.1909722
Began 790.572 276 202 -0.1944444 -0.2199074
Stationary 790.6644 276 202 -0.1944444 -0.2199074
Stationary 790.7177 276 202 -0.1944444 -0.2199074
Stationary 790.7684 276 202 -0.1944444 -0.2199074
Moved 790.8247 308.3404 221.0516 -0.1195824 -0.1096549
Moved 790.8823 351.9693 245.4808 -0.0185895 0.03171797
Moved 790.9384 410.2179 267.7156 0.1162452 0.1603916
Moved 790.9935 444.3793 280.6896 0.1953224 0.2354724
Moved 791.0504 476.778 293.889 0.2703194 0.3118575
Moved 791.1088 500.0986 303.7324 0.3243022 0.3688217
Moved 791.1636 510.6035 306.3018 0.3486192 0.3836909
Moved 791.2315 513 308 0.3541666 0.3935185
Moved 791.2852 498.5248 308 0.3206594 0.3935185
Moved 791.3478 453.9389 308 0.2174511 0.3935185
Moved 791.412 328.9853 297 -0.0717933 0.3298613
Moved 791.4655 310.0001 296 -0.1157406 0.3240741
Moved 791.5205 296.5269 296 -0.1469286 0.3240741
Moved 791.5759 290.2244 296 -0.1615175 0.3240741
Moved 791.6294 285.5 296 -0.1724537 0.3240741
Moved 791.6799 283.5 296 -0.1770833 0.3240741
Moved 791.7301 281.778 296 -0.1810693 0.3240741
Moved 791.8087 280.8133 296 -0.1833026 0.3240741
Moved 791.8597 279.9179 296 -0.1853752 0.3240741
Stationary 791.9103 280 296 -0.1851852 0.3240741
Stationary 791.9609 280 296 -0.1851852 0.3240741
Stationary 792.0205 280 296 -0.1851852 0.3240741
Stationary 792.0761 280 296 -0.1851852 0.3240741
Stationary 792.1318 280 296 -0.1851852 0.3240741
Ended 792.1909 280 296 -0.1851852 0.3240741
Began 792.3369 528 238 0.3888889 -0.01157407
Stationary 792.3993 528 238 0.3888889 -0.01157407
Stationary 792.4488 528 238 0.3888889 -0.01157407
Stationary 792.4991 528 238 0.3888889 -0.01157407
Moved 792.549 516.8211 254.5718 0.3630118 0.08432742
Moved 792.6004 507.8786 276.2427 0.3423117 0.2097382
Moved 792.6674 493.6021 300.3979 0.3092641 0.3495254
Moved 792.7187 483.008 313.992 0.2847406 0.4281946
Moved 792.769 472.4006 322.5994 0.2601867 0.4780056
Moved 792.8189 458.8213 326.7947 0.228753 0.502284
Moved 792.8692 433.3047 330.0993 0.1696869 0.521408
Moved 792.919 385.9966 331 0.06017745 0.5266204
Moved 792.9682 337.4281 325.4164 -0.05224977 0.4943078
Moved 793.018 304.7876 320.2554 -0.1278066 0.4644408
Moved 793.0676 281.7741 316.9623 -0.1810785 0.4453841
Moved 793.1174 261.652 315 -0.2276575 0.4340278
Moved 793.1921 248.6451 313 -0.2577659 0.4224537
Moved 793.2421 239.4302 313 -0.2790968 0.4224537
Moved 793.2921 233.1339 312.1339 -0.2936715 0.4174416
Moved 793.3476 226.7032 312 -0.3085573 0.4166669
Moved 793.3987 222.4076 312 -0.318501 0.4166669
Moved 793.4499 219 311 -0.3263889 0.4108796
Moved 793.5042 213.7068 311 -0.3386417 0.4108796
