watch out for low flying objects
Basic
0.6 0.6
432 326.4
Moved 1071.17 502 446.0089 0.3287037 0.2389979
Moved 1071.24 502 452 0.3287037 0.257353
Moved 1071.288 502 456.6889 0.3287037 0.2717185
Moved 1071.334 500.2396 459 0.3246287 0.2787991
Moved 1071.379 492.0296 462.9902 0.305624 0.2910239
Moved 1071.426 463.3599 468.2933 0.239259 0.3072713
Moved 1071.471 417.7812 473.2682 0.1337528 0.322513
Moved 1071.516 362.197 480.1339 0.005085667 0.3435474
Moved 1071.559 322.6359 485.3738 -0.08649106 0.359601
Moved 1071.603 276.8462 492 -0.1924856 0.379902
Moved 1071.673 233.8025 494 -0.2921239 0.3860295
Moved 1071.717 217.5 495 -0.3298611 0.3890932
Moved 1071.762 208.1705 495 -0.3514571 0.3890932
Moved 1071.817 203 495 -0.3634259 0.3890932
Moved 1071.865 199.4852 488 -0.3715622 0.3676471
Moved 1071.911 197.5 488 -0.3761574 0.3676471
Moved 1071.956 197 487 -0.3773148 0.3645834
Moved 1072.005 195.6578 487 -0.3804217 0.3645834
Moved 1072.053 195 487 -0.3819444 0.3645834
Moved 1072.099 195 485.5 -0.3819444 0.3599878
Moved 1072.174 193.9203 486 -0.3844438 0.3615196
Stationary 1072.224 193.9203 486 -0.3844438 0.3615196
Stationary 1072.276 193.9203 486 -0.3844438 0.3615196
Stationary 1072.321 194 486 -0.3842593 0.3615196
Ended 1072.368 194 486 -0.3842593 0.3615196
Began 1072.647 335 373 -0.05787035 0.01531863
Stationary 1072.702 335 373 -0.05787035 0.01531863
Stationary 1072.747 335 373 -0.05787035 0.01531863
Stationary 1072.792 335 373 -0.05787035 0.01531863
Moved 1072.852 367.4947 373 0.01734893 0.01531863
Moved 1072.897 413.5962 373 0.1240652 0.01531863
Moved 1072.942 459.4082 373 0.2301116 0.01531863
Moved 1072.987 484.7317 373 0.2887307 0.01531863
Moved 1073.038 514.9348 373 0.3586453 0.01531863
Moved 1073.09 536.3647 373 0.4082516 0.01531863
Moved 1073.142 542.5411 373 0.4225488 0.01531863
Moved 1073.191 545.5 373 0.4293981 0.01531863
Moved 1073.239 546.1073 373 0.4308039 0.01531863
Stationary 1073.287 546 373 0.4305556 0.01531863
Moved 1073.359 483.4764 439.4706 0.285825 0.2189664
Moved 1073.406 452.3755 464.083 0.2138322 0.294372
Moved 1073.46 415.0314 483.9843 0.1273874 0.3553441
Moved 1073.511 394.1515 493.9243 0.07905433 0.3857974
Moved 1073.564 382.2016 498 0.05139251 0.3982843
Moved 1073.62 375 502 0.03472219 0.4105393
Moved 1073.673 375 505.0427 0.03472219 0.4198613
Moved 1073.718 388.6519 508 0.06632397 0.4289215
Moved 1073.767 417.027 511 0.1320069 0.4381127
Moved 1073.812 441.5533 511 0.1887809 0.4381127
Moved 1073.888 456.0606 511 0.2223625 0.4381127
Moved 1073.937 462.7621 503.2379 0.2378753 0.4143319
Moved 1073.984 465.7333 493.8666 0.2447531 0.3856209
Moved 1074.033 466 455.6472 0.2453704 0.268527
Moved 1074.083 444.9537 403.1635 0.196652 0.1077312
Moved 1074.133 428.1771 347.7083 0.1578173 -0.06216807
Moved 1074.181 414.9802 301.9207 0.1272689 -0.202449
Moved 1074.229 410.0241 279.1445 0.1157965 -0.2722289
Moved 1074.276 404.7078 260.8312 0.1034902 -0.3283358
Moved 1074.323 401.7619 251.5238 0.09667108 -0.356851
Moved 1074.396 398.6012 244 0.08935461 -0.379902
Moved 1074.442 395.5881 243 0.08237998 -0.3829657
Moved 1074.496 374.766 277.3511 0.03418048 -0.2777233
Moved 1074.546 355.6911 311.2797 -0.009974391 -0.1737755
Moved 1074.592 345.0755 336.849 -0.03454745 -0.09543821
Moved 1074.641 340.756 348.244 -0.04454643 -0.0605269
Moved 1074.688 340 353.6229 -0.04629632 -0.0440476
Moved 1074.733 340 356.3718 -0.04629632 -0.03562554
Moved 1074.78 340 358.3724 -0.04629632 -0.0294963
Moved 1074.826 340 359.249 -0.04629632 -0.02681078
Moved 1074.899 340 360 -0.04629632 -0.0245098
Stationary 1074.945 340 360 -0.04629632 -0.0245098
Moved 1074.989 340 361.1495 -0.04629632 -0.02098803
Stationary 1075.037 340 361.1495 -0.04629632 -0.02098803
Stationary 1075.082 340 361.1495 -0.04629632 -0.02098803
Stationary 1075.127 340 361.1495 -0.04629632 -0.02098803
Stationary 1075.172 340 361.1495 -0.04629632 -0.02098803
Stationary 1075.216 340 361.1495 -0.04629632 -0.02098803
Stationary 1075.261 340 361 -0.04629632 -0.02144608
Stationary 1075.306 340 361 -0.04629632 -0.02144608
Ended 1075.377 340 361 -0.04629632 -0.02144608
Began 1075.591 515 461 0.3587963 0.2849264
Stationary 1075.645 515 461 0.3587963 0.2849264
