the five boxing wizards jump quickly
Basic
0.6 0.6
432 172.8
Began 801.6243 310 329 -0.1157407 0.5150465
Stationary 801.691 310 329 -0.1157407 0.5150465
Stationary 801.7424 310 329 -0.1157407 0.5150465
Stationary 801.7931 310 329 -0.1157407 0.5150465
Stationary 801.8464 310 329 -0.1157407 0.5150465
Stationary 801.8981 310 329 -0.1157407 0.5150465
Stationary 801.9495 310 329 -0.1157407 0.5150465
Moved 802.007 344.4651 294.6678 -0.03596042 0.3163645
Moved 802.0585 377.5496 272.5431 0.04062415 0.1883281
Moved 802.1104 406.1665 258.4167 0.106867 0.1065784
Moved 802.1635 417.1767 251.8232 0.1323535 0.06842154
Moved 802.2153 421.0503 247.9497 0.14132 0.04600543
Moved 802.2806 422 243.9252 0.1435185 0.02271529
Moved 802.3383 397.892 243 0.087713 0.01736111
Moved 802.3926 339.3819 263.4685 -0.04772703 0.1358131
Moved 802.4458 299.0209 282.4895 -0.1411552 0.2458885
Moved 802.5002 269.5715 300.8214 -0.2093252 0.3519754
Moved 802.5573 254.0246 310.9877 -0.2453133 0.4108083
Moved 802.6115 247.7153 315.2847 -0.2599184 0.4356755
Moved 802.6657 245 316.7197 -0.2662037 0.4439801
Moved 802.7183 243.7076 317 -0.2691953 0.4456021
Ended 802.7695 244 317 -0.2685185 0.4456021
Began 802.9294 259 243 -0.2337963 0.01736111
Stationary 802.9954 259 243 -0.2337963 0.01736111
Stationary 803.0481 259 243 -0.2337963 0.01736111
Moved 803.1013 282.3505 243 -0.1797442 0.01736111
Moved 803.1754 340.3661 267.5916 -0.04544888 0.1596735
Moved 803.2281 378.5388 280.8463 0.04291385 0.2363788
Moved 803.2806 450.1161 307.0291 0.2086022 0.3878996
Moved 803.3336 489.1839 318.312 0.2990367 0.4531945
Moved 803.3948 510.4931 322 0.3483636 0.4745372
Moved 803.4481 516.2364 322 0.3616583 0.4745372
Stationary 803.5013 516 322 0.3611111 0.4745372
Moved 803.5593 439.7917 237.619 0.184703 -0.01377883
Moved 803.6182 410.3433 209.8746 0.1165354 -0.1743364
Moved 803.6747 395.3202 193.3202 0.0817597 -0.2701376
Moved 803.7516 375.6413 177.3207 0.03620664 -0.3627278
Moved 803.8082 361.7513 170.5837 0.004053911 -0.4017145
Moved 803.8624 349.3958 170 -0.02454668 -0.4050924
Moved 803.9158 334.5763 183.3177 -0.05885109 -0.3280221
Moved 803.9709 309.8503 207.2246 -0.1160873 -0.1896724
Moved 804.0331 287.14 232.8132 -0.1686573 -0.04159009
Moved 804.0891 272.2749 248.9668 -0.2030674 0.05189119
Moved 804.1433 257.5786 263.7107 -0.2370866 0.1372148
Moved 804.1967 250.0895 271.821 -0.2544225 0.1841498
Moved 804.2532 243.5 277.5 -0.2696759 0.2170139
Moved 804.3389 239 284.9169 -0.2800926 0.259936
Moved 804.3928 238 286.8681 -0.2824074 0.2712275
Moved 804.4448 238 288.0562 -0.2824074 0.2781028
Moved 804.5033 236.5 288 -0.2858796 0.2777778
Moved 804.5605 237 289.0636 -0.2847222 0.2839329
Ended 804.6152 237 289 -0.2847222 0.283565
Began 804.8914 315 157 -0.1041667 -0.4803239
Stationary 804.9451 315 157 -0.1041667 -0.4803239
Stationary 804.9963 315 157 -0.1041667 -0.4803239
Moved 805.0482 335.6608 166.0643 -0.05634079 -0.4278683
Moved 805.1024 362.1869 182.2418 0.005062222 -0.3342486
Moved 805.1575 414.5963 214.5577 0.1263803 -0.1472353
Moved 805.2122 444 237.5 0.1944444 -0.01446759
Moved 805.269 470.6901 258.7521 0.256227 0.108519
Moved 805.3245 483.2868 269.2868 0.2853861 0.169484
Moved 805.3835 489 274.1082 0.2986111 0.1973852
Moved 805.4495 492 276.4979 0.3055556 0.2112148
Moved 805.5035 493 277.8049 0.3078704 0.2187787
Moved 805.5629 494.2487 279.2487 0.3107609 0.227134
Moved 805.6175 494 280.2353 0.3101851 0.2328431
Stationary 805.6738 494 280.2353 0.3101851 0.2328431
Stationary 805.7267 494 280 0.3101851 0.2314817
Stationary 805.7795 494 280 0.3101851 0.2314817
Moved 805.831 471.7971 261.7971 0.2587897 0.1261406
Moved 805.8824 456.0883 245.0883 0.2224265 0.02944611
Moved 805.9383 437.8961 226.9307 0.180315 -0.07563274
Moved 806.0212 417.4067 212.1356 0.1328859 -0.1612522
Moved 806.074 403.3508 206.8376 0.1003491 -0.1919116
Moved 806.1251 386.4226 200.4742 0.06116351 -0.2287368
Moved 806.178 377.1723 196 0.03975064 -0.2546296
Moved 806.2299 369.7624 191.7623 0.02259801 -0.2791534
Moved 806.2825 365.5 189.5 0.01273145 -0.2922454
Moved 806.336 363 189 0.006944438 -0.2951387
Moved 806.3881 360.626 188 0.001449188 -0.3009259
Moved 806.4399 358.9348 187 -0.002465695 -0.3067128
Moved 806.5001 357.9178 186 -0.00481988 -0.3125
Moved 806.5866 355 183.7792 -0.01157408 -0.325352
Moved 806.64 354 184 -0.01388888 -0.3240739
Moved 806.693 352.5 182.5 -0.0173611 -0.3327545
Stationary 806.7461 352.5 182.5 -0.0173611 -0.3327545
Ended 806.7996 353 183 -0.01620372 -0.3298611
Backspace 807.8983
Began 809.0543 309 328 -0.1180555 0.5092593
Stationary 809.1127 309 328 -0.1180555 0.5092593
Stationary 809.1645 309 328 -0.1180555 0.5092593
Stationary 809.2195 309 328 -0.1180555 0.5092593
Stationary 809.2726 309 328 -0.1180555 0.5092593
Stationary 809.3268 309 328 -0.1180555 0.5092593
Moved 809.3821 309 317.2569 -0.1180555 0.4470886
Moved 809.4384 342.0301 295.5499 -0.04159694 0.3214695
Moved 809.4946 386.9118 269.0441 0.06229579 0.1680795
Moved 809.5471 410.761 257.1195 0.1175023 0.09907123
Moved 809.6014 420.5 248 0.1400463 0.0462963
Moved 809.654 422 245.5802 0.1435185 0.032293
Moved 809.7263 412.6595 244 0.121897 0.02314815
Moved 809.7799 390.6151 244 0.07086823 0.02314815
Moved 809.8338 356.946 256.3011 -0.007069359 0.09433535
Moved 809.8887 322.5 269.5 -0.08680557 0.1707176
