please provide your date of birth
Basic
0.8 0.8
575.9999 230.4
Began 173.2759 610 248 0.4340278 0.03472222
Stationary 173.3006 610 248 0.4340278 0.03472222
Stationary 173.3172 610 248 0.4340278 0.03472222
Stationary 173.3324 610 248 0.4340278 0.03472222
Stationary 173.349 610 248 0.4340278 0.03472222
Stationary 173.3655 610 248 0.4340278 0.03472222
Stationary 173.3812 610 248 0.4340278 0.03472222
Stationary 173.3966 610 248 0.4340278 0.03472222
Stationary 173.413 610 248 0.4340278 0.03472222
Stationary 173.4286 610 248 0.4340278 0.03472222
Stationary 173.4439 610 248 0.4340278 0.03472222
Stationary 173.4589 610 248 0.4340278 0.03472222
Stationary 173.4737 610 248 0.4340278 0.03472222
Stationary 173.4936 610 248 0.4340278 0.03472222
Stationary 173.5093 610 248 0.4340278 0.03472222
Stationary 173.5252 610 248 0.4340278 0.03472222
Moved 173.5409 610 257.1301 0.4340278 0.07434965
Stationary 173.5575 610 257.1301 0.4340278 0.07434965
Moved 173.5743 610 259.0812 0.4340278 0.08281788
Moved 173.5915 610 260.5128 0.4340278 0.0890312
Moved 173.6084 610 261.9499 0.4340278 0.09526863
Moved 173.627 610 266 0.4340278 0.1128472
Moved 173.6433 610 267.9474 0.4340278 0.1212998
Moved 173.6692 610 270.7744 0.4340278 0.1335693
Moved 173.6858 610 274.4505 0.4340278 0.1495247
Moved 173.703 610 283.9997 0.4340278 0.190971
Moved 173.7206 610 287.6556 0.4340278 0.2068387
Moved 173.7379 618.9863 291.8513 0.4496289 0.225049
Moved 173.7551 618.7244 296.4488 0.4491743 0.2450035
Moved 173.7731 619 300.4917 0.4496528 0.262551
Moved 173.7902 620 303.8126 0.4513889 0.2769643
Moved 173.8071 621.0432 307.0863 0.4532 0.2911732
Moved 173.8292 621 310.5 0.453125 0.3059896
Moved 173.8533 621 311.9745 0.453125 0.3123897
Moved 173.8694 621 312.5 0.453125 0.3146702
Stationary 173.8848 621 312.5 0.453125 0.3146702
Moved 173.8997 621 312 0.453125 0.3125001
Stationary 173.9158 621 312 0.453125 0.3125001
Stationary 173.9315 621 312 0.453125 0.3125001
Stationary 173.947 621 312 0.453125 0.3125001
Moved 173.9624 613.073 300.6762 0.4393629 0.2633516
Moved 173.9798 589.4671 271.4976 0.3983804 0.1367084
Moved 173.9975 578.7988 256.7317 0.379859 0.07262018
Moved 174.0228 564.3234 237.9205 0.3547282 -0.009025468
Moved 174.0412 553.642 225.642 0.336184 -0.06231786
Moved 174.0587 549.7256 221.7257 0.3293848 -0.07931551
Moved 174.0764 543.5364 214.6704 0.3186396 -0.1099375
Moved 174.0944 539.0886 211.3925 0.3109177 -0.1241647
Moved 174.1117 536.5203 210.2601 0.3064589 -0.1290793
Moved 174.1282 533.6456 210 0.301468 -0.1302083
Moved 174.1447 529.5655 210 0.2943845 -0.1302083
Moved 174.1613 523.8084 210 0.2843896 -0.1302083
Moved 174.1775 517.1666 210 0.2728587 -0.1302083
Moved 174.202 485.1938 236.6334 0.2173504 -0.01461188
Moved 174.2201 458.6689 256.8808 0.1713002 0.07326736
Moved 174.2366 433.1959 277.0034 0.1270762 0.1606051
Moved 174.2536 407.3717 294.4189 0.08224249 0.236193
Moved 174.2703 386.3865 305.6363 0.04580982 0.2848799
Moved 174.2863 367.9214 314.5664 0.01375236 0.3236391
Moved 174.3024 345.087 321.8478 -0.02589054 0.3552421
Moved 174.3194 291.465 329.5039 -0.1189844 0.3884718
Moved 174.3361 265.0073 329 -0.1649179 0.3862849
Moved 174.3524 241.3371 329 -0.2060119 0.3862849
Moved 174.3783 230.1199 324.5656 -0.2254862 0.3670384
Moved 174.3948 221.9034 320.2719 -0.2397511 0.3484024
Moved 174.4112 214.6649 317.866 -0.252318 0.3379601
Moved 174.4277 207.125 315.0625 -0.265408 0.325792
Moved 174.4443 207 313.6285 -0.265625 0.3195683
Moved 174.461 206 313.1951 -0.2673611 0.3176872
Moved 174.4774 206 310.5142 -0.2673611 0.3060513
Moved 174.4933 206 305 -0.2673611 0.2821182
Moved 174.511 206 299.0878 -0.2673611 0.2564574
Moved 174.527 206 289.4003 -0.2673611 0.2144112
Moved 174.5512 206 256.0972 -0.2673611 0.06986619
Moved 174.5682 206 243.225 -0.2673611 0.01399742
Moved 174.5843 206 233.2268 -0.2673611 -0.02939754
Moved 174.601 206 228.7721 -0.2673611 -0.04873223
Moved 174.617 206 222.5386 -0.2673611 -0.07578745
Moved 174.6331 206 218.1803 -0.2673611 -0.09470344
Moved 174.6487 204.625 215.2499 -0.2697484 -0.1074224
Moved 174.6684 204.1866 213.3732 -0.2705095 -0.1155677
Moved 174.6842 204 211.7524 -0.2708333 -0.1226023
Moved 174.7017 204 210.5 -0.2708333 -0.1280382
Moved 174.7276 202.8082 210 -0.2729025 -0.1302083
Stationary 174.7449 203 210 -0.2725694 -0.1302083
Moved 174.761 201.9341 210 -0.27442 -0.1302083
Moved 174.7775 200.4433 210 -0.2770081 -0.1302083
Moved 174.7937 197.997 210 -0.2812552 -0.1302083
Moved 174.8101 192.3207 210 -0.2911099 -0.1302083
Moved 174.8266 182.6321 209 -0.3079304 -0.1345485
Moved 174.843 178.0796 209 -0.3158341 -0.1345485
Moved 174.8591 174.5 209 -0.3220486 -0.1345485
Moved 174.875 173.8604 209 -0.3231591 -0.1345485
Stationary 174.8989 173.8604 209 -0.3231591 -0.1345485
Stationary 174.9141 174 209 -0.3229167 -0.1345485
Moved 174.931 178.8092 209 -0.3145673 -0.1345485
Moved 174.9493 185.0177 215.0354 -0.3037887 -0.1083533
Moved 174.9687 208.7821 231.1613 -0.2625311 -0.03836261
Moved 174.9858 218.7906 237.8505 -0.2451551 -0.009329584
Moved 175.0033 224.6313 242.2235 -0.2350151 0.009650655
Moved 175.0205 231.6098 247.6097 -0.2228997 0.03302839
Moved 175.0367 237.2066 251.9049 -0.213183 0.05167061
Moved 175.0513 239 255.5 -0.2100695 0.06727431
Moved 175.0766 242.2842 262.5683 -0.2043678 0.09795269
Moved 175.0925 242 267.9005 -0.2048611 0.1210959
Moved 175.1089 242 271.3264 -0.2048611 0.1359654
Moved 175.1248 242 277.9768 -0.2048611 0.1648299
Moved 175.1407 242 284.1689 -0.2048611 0.1917055
Moved 175.156 242 289.9238 -0.2048611 0.2166832
Moved 175.1712 233.8721 294.2558 -0.218972 0.2354853
Moved 175.1874 230.9882 299.0178 -0.2239789 0.2561535
Moved 175.2024 229.5562 302.8875 -0.2264649 0.2729492
Moved 175.2209 228.1286 306.6141 -0.2289433 0.289124
Moved 175.2463 226 311.7425 -0.2326389 0.3113824
Moved 175.2625 224.8147 313.1854 -0.2346968 0.3176448
Moved 175.2827 225 314.2415 -0.234375 0.3222286
Moved 175.2998 225 316.5026 -0.234375 0.3320427
Moved 175.3172 225 318.1848 -0.234375 0.3393438
Moved 175.3359 225 324.1268 -0.234375 0.3651336
Ended 175.3511 225 324.1268 -0.234375 0.3651336
Began 175.9567 651 310 0.5052083 0.3038195
Stationary 175.9814 651 310 0.5052083 0.3038195
Stationary 175.996 651 310 0.5052083 0.3038195
Stationary 176.0119 651 310 0.5052083 0.3038195
