we run the risk of failure
Basic
0.8 0.8
575.9999 230.4
Began 130.2214 159 317 -0.3489584 0.3342015
Stationary 130.2463 159 317 -0.3489584 0.3342015
Stationary 130.2611 159 317 -0.3489584 0.3342015
Stationary 130.2757 159 317 -0.3489584 0.3342015
Stationary 130.2919 159 317 -0.3489584 0.3342015
Stationary 130.3064 159 317 -0.3489584 0.3342015
Stationary 130.3208 159 317 -0.3489584 0.3342015
Stationary 130.3363 159 317 -0.3489584 0.3342015
Stationary 130.3512 159 317 -0.3489584 0.3342015
Moved 130.3678 175.8248 317 -0.3197486 0.3342015
Moved 130.3847 182.7443 317 -0.3077356 0.3342015
Moved 130.4003 190.4133 324.7355 -0.2944213 0.3677758
Moved 130.4143 197.5973 326.1194 -0.2819491 0.3737825
Moved 130.4337 207.5602 328 -0.2646524 0.3819445
Moved 130.4486 211.8831 328.9708 -0.2571475 0.3861579
Moved 130.4633 217.3967 330.3492 -0.2475752 0.3921407
Stationary 130.4771 217.3967 330.3492 -0.2475752 0.3921407
Moved 130.4907 224.6398 330.728 -0.2350004 0.3937846
Moved 130.5065 231.5667 332.1133 -0.2229744 0.3997976
Moved 130.5219 241.5 333.5 -0.2057292 0.405816
Moved 130.5385 249.2767 333.8795 -0.192228 0.4074631
Moved 130.5529 257.6581 334 -0.1776769 0.4079863
Moved 130.5681 266.5 334 -0.1623264 0.4079863
Moved 130.5896 276.2328 334 -0.1454292 0.4079863
Moved 130.6055 280.3593 334 -0.1382651 0.4079863
Moved 130.6203 283.6899 334 -0.1324827 0.4079863
Moved 130.6341 286.4577 334 -0.1276775 0.4079863
Moved 130.6551 288.2332 334 -0.1245952 0.4079863
Moved 130.6735 291.0043 334 -0.1197841 0.4079863
Moved 130.6882 293.1438 334 -0.1160698 0.4079863
Moved 130.7027 300.5 323.5 -0.1032986 0.3624132
Ended 130.7216 300.5 323.5 -0.1032986 0.3624132
Began 131.2424 309 309 -0.08854166 0.2994793
Stationary 131.2636 309 309 -0.08854166 0.2994793
Stationary 131.2781 309 309 -0.08854166 0.2994793
Stationary 131.2926 309 309 -0.08854166 0.2994793
Stationary 131.3076 309 309 -0.08854166 0.2994793
Stationary 131.3232 309 309 -0.08854166 0.2994793
Stationary 131.3377 309 309 -0.08854166 0.2994793
Stationary 131.3531 309 309 -0.08854166 0.2994793
Stationary 131.3701 309 309 -0.08854166 0.2994793
Stationary 131.3848 309 309 -0.08854166 0.2994793
Stationary 131.4022 309 309 -0.08854166 0.2994793
Moved 131.417 320.6109 309 -0.06838385 0.2994793
Moved 131.4343 329.6247 309 -0.05273484 0.2994793
Moved 131.4513 348.4601 309 -0.02003458 0.2994793
Moved 131.4671 359.5 309 -0.0008680672 0.2994793
Moved 131.4824 369.9293 309 0.01723833 0.2994793
Moved 131.4978 381.2669 309 0.03692172 0.2994793
Moved 131.514 392.8972 309 0.05711325 0.2994793
Moved 131.535 405.4484 315.6138 0.07890344 0.3281851
Moved 131.5509 417.9628 316 0.1006298 0.3298611
Moved 131.5656 427.0106 316.7158 0.1163378 0.332968
Moved 131.5801 436.656 317 0.1330833 0.3342015
Moved 131.5953 443.9012 318.1287 0.1456618 0.3391004
Moved 131.6098 455.9058 318 0.166503 0.3385417
Moved 131.6381 474.9492 318 0.1995646 0.3385417
Stationary 131.6524 474.9492 318 0.1995646 0.3385417
Moved 131.6803 485.3039 318 0.2175414 0.3385417
Moved 131.7115 489 318 0.2239584 0.3385417
Moved 131.7342 489.5 318 0.2248264 0.3385417
Moved 131.7504 489 304.7516 0.2239584 0.2810403
Moved 131.7665 489 294.2317 0.2239584 0.2353806
Moved 131.7855 474.1852 280.1852 0.1982381 0.1744149
Moved 131.8003 470.6841 267.505 0.1921599 0.1193794
Moved 131.816 466.268 256.048 0.184493 0.06965267
Moved 131.8305 460.719 244.1818 0.1748594 0.01815001
Moved 131.846 455.1248 231.2496 0.1651473 -0.03797902
Moved 131.8608 449.5615 217.9037 0.1554887 -0.09590428
Moved 131.8755 447.0176 210.053 0.1510723 -0.1299783
Moved 131.8961 444.2574 201.7723 0.1462802 -0.1659187
Moved 131.9128 441 186.4536 0.140625 -0.2324061
Moved 131.9277 440.2284 183.4568 0.1392853 -0.2454131
Moved 131.9431 440 179.7325 0.1388889 -0.2615774
Moved 131.9582 438.525 177.05 0.1363281 -0.2732202
Stationary 131.9718 438.525 177.05 0.1363281 -0.2732202
Moved 131.9855 439 172.4304 0.1371527 -0.2932706
Moved 132.0073 439 167.7983 0.1371527 -0.3133751
Moved 132.0229 439 164.9984 0.1371527 -0.3255278
Moved 132.0372 439 163.613 0.1371527 -0.3315404
Moved 132.0585 439 162.6934 0.1371527 -0.3355323
Moved 132.077 439 161.5 0.1371527 -0.3407117
Moved 132.0918 439 162 0.1371527 -0.3385416
Ended 132.1069 439 162 0.1371527 -0.3385416
Began 132.3817 397 273 0.06423608 0.1432292
Stationary 132.4024 397 273 0.06423608 0.1432292
Stationary 132.4192 397 273 0.06423608 0.1432292
Stationary 132.438 397 273 0.06423608 0.1432292
Stationary 132.4512 397 273 0.06423608 0.1432292
Stationary 132.4643 397 273 0.06423608 0.1432292
Stationary 132.4782 397 273 0.06423608 0.1432292
Stationary 132.4932 397 273 0.06423608 0.1432292
Stationary 132.5102 397 273 0.06423608 0.1432292
Stationary 132.5255 397 273 0.06423608 0.1432292
Stationary 132.5403 397 273 0.06423608 0.1432292
Stationary 132.5557 397 273 0.06423608 0.1432292
Stationary 132.5711 397 273 0.06423608 0.1432292
Stationary 132.5864 397 273 0.06423608 0.1432292
Moved 132.6086 397 263.352 0.06423608 0.101354
Moved 132.6241 397 262.0876 0.06423608 0.09586653
Moved 132.6402 397 260.7028 0.06423608 0.08985573
Moved 132.6544 397 258.6431 0.06423608 0.08091623
Moved 132.6747 397 256.9324 0.06423608 0.0734916
Moved 132.6888 400.1476 254.1007 0.06970064 0.06120113
Moved 132.7071 405.6495 251.3505 0.07925265 0.0492643
Moved 132.7333 414.9831 244.2627 0.0954567 0.01850128
Moved 132.7492 420.8088 239.5956 0.1055709 -0.001755423
Moved 132.7649 425.2589 236.8274 0.1132967 -0.01377
Moved 132.7803 429.3779 232.6221 0.1204477 -0.03202227
Moved 132.7966 432.6541 230.3459 0.1261357 -0.04190128
Moved 132.8121 435.412 228.7939 0.1309236 -0.04863739
Moved 132.8268 436.5931 227.4069 0.1329742 -0.05465786
Moved 132.8488 437.7446 225.5107 0.1349733 -0.06288741
Moved 132.8639 438.5 224 0.1362847 -0.06944432
Moved 132.8787 439.2128 222.5743 0.1375223 -0.07563207
Moved 132.894 439 221.1874 0.1371527 -0.08165214
Stationary 132.9087 439 221 0.1371527 -0.08246528
Moved 132.9234 434.9785 220 0.130171 -0.08680556
Moved 132.9386 426.2309 220 0.1149842 -0.08680556
Moved 132.9534 416.6377 220 0.09832942 -0.08680556
Moved 132.9683 406.2995 220 0.08038112 -0.08680556
Moved 132.9834 388.9158 234.785 0.05020111 -0.0226344
Moved 133.0054 373.5869 241.6423 0.02358832 0.007128187
Moved 133.0236 349.9887 253.6045 -0.01738071 0.05904742
